,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
0,0,21800738,1610612749,MIL,Milwaukee,203114,Khris Middleton,F,,34:10,115.0,115.4,112.5,107.9,2.6,7.5,0.25,3.0,24.0,0.0,0.098,0.05,8.0,0.633,0.6559999999999999,0.221,0.226,106.18,108.18,90.15,78,0.141
1,1,21800738,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,F,,34:40,107.4,109.0,113.6,110.4,-6.2,-1.4,0.182,1.0,11.4,0.10300000000000001,0.368,0.23399999999999999,11.4,0.43200000000000005,0.495,0.35600000000000004,0.36,106.54,107.29,89.41,78,0.153
2,2,21800738,1610612749,MIL,Milwaukee,201572,Brook Lopez,C,,30:27,100.9,104.3,107.9,105.9,-7.0,-1.5,0.111,2.0,18.2,0.0,0.114,0.055,9.1,1.214,1.1420000000000001,0.114,0.115,108.81,107.96,89.96,69,0.165
3,3,21800738,1610612749,MIL,Milwaukee,1627763,Malcolm Brogdon,G,,32:35,114.0,115.5,107.1,106.8,6.9,8.6,0.174,0.0,20.0,0.057,0.10800000000000001,0.083,0.0,0.536,0.5710000000000001,0.2,0.205,106.61,106.08,88.4,71,0.091
4,4,21800738,1610612749,MIL,Milwaukee,202339,Eric Bledsoe,G,,31:22,102.7,102.8,110.2,105.6,-7.5,-2.9,0.14300000000000002,0.75,14.3,0.026000000000000002,0.132,0.079,19.0,0.39299999999999996,0.39299999999999996,0.222,0.228,107.18,109.42,91.18,72,0.05
5,5,21800738,1610612749,MIL,Milwaukee,1628425,Sterling Brown,,,20:23,103.3,100.0,127.2,128.9,-23.9,-28.9,0.0,0.0,0.0,0.037000000000000005,0.111,0.067,12.5,0.35700000000000004,0.35700000000000004,0.151,0.165,106.12,107.16,89.3,46,0.017
6,6,21800738,1610612749,MIL,Milwaukee,1628391,D.J. Wilson,,,16:02,91.5,91.7,113.3,110.8,-21.8,-19.1,0.091,1.0,20.0,0.0,0.15,0.075,20.0,0.0,0.0,0.1,0.105,108.23,109.31,91.09,36,-0.021
7,7,21800738,1610612749,MIL,Milwaukee,201588,George Hill,,,21:15,91.0,85.7,104.2,108.5,-13.2,-22.8,0.154,0.0,40.0,0.0,0.07400000000000001,0.037000000000000005,0.0,0.33299999999999996,0.33299999999999996,0.057,0.061,107.43,108.42,90.35,49,0.059000000000000004
8,8,21800738,1610612749,MIL,Milwaukee,101141,Ersan Ilyasova,,,4:49,67.6,60.0,108.3,118.2,-40.8,-58.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16699999999999998,0.184,104.04,104.64,87.2,10,-0.11800000000000001
9,9,21800738,1610612749,MIL,Milwaukee,203503,Tony Snell,,,14:17,90.1,93.8,109.5,109.4,-19.4,-15.6,0.0,0.0,0.0,0.053,0.125,0.086,14.3,0.5,0.633,0.2,0.204,109.62,107.54,89.61,32,0.079
10,10,21800738,1610612749,MIL,Milwaukee,1626192,Pat Connaughton,,DNP - Coach's Decision                  ,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
11,11,21800738,1610612749,MIL,Milwaukee,1627748,Thon Maker,,DNP - Coach's Decision                  ,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
12,12,21800738,1610612749,MIL,Milwaukee,201160,Jason Smith,,DNP - Coach's Decision                  ,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
13,13,21800738,1610612760,OKC,Oklahoma City,202331,Paul George,F,,37:39,115.4,115.3,98.9,95.3,16.5,19.9,0.125,0.6,9.4,0.047,0.262,0.153,15.6,0.762,0.7609999999999999,0.29600000000000004,0.306,106.99,109.0,90.84,85,0.21899999999999997
14,14,21800738,1610612760,OKC,Oklahoma City,203924,Jerami Grant,F,,33:27,107.0,104.0,102.7,102.6,4.3,1.4,0.16,0.0,22.2,0.0,0.05,0.025,0.0,0.55,0.5920000000000001,0.16699999999999998,0.171,107.51,109.06,90.88,75,0.099
15,15,21800738,1610612760,OKC,Oklahoma City,203500,Steven Adams,C,,30:53,125.0,122.4,118.3,119.1,6.7,3.3,0.08,2.0,14.3,0.133,0.114,0.12300000000000001,7.1,0.7,0.643,0.16,0.163,104.21,104.93,87.44,67,0.106
16,16,21800738,1610612760,OKC,Oklahoma City,1628390,Terrance Ferguson,G,,27:12,108.8,105.0,105.5,104.8,3.3,0.2,0.059000000000000004,1.0,7.7,0.031,0.063,0.047,7.7,0.75,0.6890000000000001,0.17600000000000002,0.182,105.46,107.65,89.71,60,0.078
17,17,21800738,1610612760,OKC,Oklahoma City,201566,Russell Westbrook,G,,36:05,105.9,102.5,112.9,116.0,-7.0,-13.6,0.40700000000000003,2.75,30.6,0.023,0.293,0.153,11.1,0.3,0.311,0.275,0.28300000000000003,107.48,107.75,89.79,81,0.094
18,18,21800738,1610612760,OKC,Oklahoma City,203471,Dennis Schroder,,,27:41,116.9,118.3,97.8,96.8,19.1,21.5,0.318,0.0,35.0,0.0,0.053,0.03,0.0,0.455,0.53,0.19699999999999998,0.204,106.7,106.63,88.86,60,0.122
19,19,21800738,1610612760,OKC,Oklahoma City,202335,Patrick Patterson,,,14:33,120.9,129.0,105.1,100.0,15.8,29.0,0.071,0.0,50.0,0.067,0.111,0.091,0.0,0.0,0.0,0.027999999999999997,0.028999999999999998,106.36,105.57,87.97,31,0.04
20,20,21800738,1610612760,OKC,Oklahoma City,1627846,Abdel Nader,,,15:24,110.9,113.9,97.6,100.0,13.3,13.9,0.0,0.0,0.0,0.0,0.095,0.051,0.0,0.5,0.5,0.098,0.10300000000000001,111.92,109.11,90.93,36,0.031
21,21,21800738,1610612760,OKC,Oklahoma City,203457,Nerlens Noel,,,17:07,86.0,89.5,77.8,77.5,8.2,12.0,0.0,0.0,0.0,0.08,0.174,0.125,0.0,0.429,0.429,0.159,0.165,111.33,109.42,91.18,38,0.094
