,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
0,0,21600769,1610612739,CLE,Cleveland,2544,LeBron James,F,,0:47,0.0,0.0,138.9,200.0,-138.9,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,118.88,91.91,76.6,1,-0.429
1,1,21600769,1610612739,CLE,Cleveland,201567,Kevin Love,F,,4:56,190.1,181.8,121.8,136.4,68.4,45.5,0.2,0.0,33.3,0.33299999999999996,0.14300000000000002,0.2,0.0,0.0,1.136,0.154,0.16,110.96,106.88,89.07,11,0.175
2,2,21600769,1610612739,CLE,Cleveland,202684,Tristan Thompson,C,,4:56,190.1,181.8,121.8,136.4,68.4,45.5,0.0,0.0,0.0,0.33299999999999996,0.28600000000000003,0.3,0.0,1.0,1.0,0.077,0.08,110.96,106.88,89.07,11,0.14300000000000002
3,3,21600769,1610612739,CLE,Cleveland,202681,Kyrie Irving,G,,4:56,190.1,181.8,121.8,136.4,68.4,45.5,0.5,0.0,11.1,0.0,0.0,0.0,0.0,0.583,0.7090000000000001,0.615,0.639,110.96,106.88,89.07,11,0.28600000000000003
4,4,21600769,1610612739,CLE,Cleveland,2594,Kyle Korver,,,4:56,190.1,181.8,121.8,136.4,68.4,45.5,0.0,0.0,0.0,0.0,0.14300000000000002,0.1,0.0,1.5,1.5,0.077,0.08,110.96,106.88,89.07,11,0.127
5,5,21600769,1610612739,CLE,Cleveland,2210,Richard Jefferson,,,4:09,210.1,200.0,116.5,122.2,93.6,77.8,0.0,0.0,0.0,0.0,0.16699999999999998,0.111,0.0,0.0,0.0,0.0,0.0,109.47,109.7,91.42,10,0.036000000000000004
6,6,21600769,1610612764,WAS,Washington,203490,Otto Porter Jr.,F,,4:56,121.8,136.4,190.1,181.8,-68.4,-45.5,0.0,0.0,0.0,0.0,0.33299999999999996,0.1,0.0,0.0,0.0,0.0,0.0,110.96,106.88,89.07,11,0.063
7,7,21600769,1610612764,WAS,Washington,202693,Markieff Morris,F,,1:00,138.9,200.0,106.4,100.0,32.5,100.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.24,96.0,80.0,2,0.0
8,8,21600769,1610612764,WAS,Washington,101162,Marcin Gortat,C,,4:56,121.8,136.4,190.1,181.8,-68.4,-45.5,0.33299999999999996,0.0,25.0,0.0,0.0,0.0,0.0,0.667,0.667,0.231,0.225,110.96,106.88,89.07,11,0.079
9,9,21600769,1610612764,WAS,Washington,203078,Bradley Beal,G,,4:56,121.8,136.4,190.1,181.8,-68.4,-45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.425,0.462,0.45,110.96,106.88,89.07,11,0.032
10,10,21600769,1610612764,WAS,Washington,202322,John Wall,G,,4:56,121.8,136.4,190.1,181.8,-68.4,-45.5,0.5,0.0,50.0,0.0,0.0,0.0,0.0,0.5,0.615,0.154,0.15,110.96,106.88,89.07,11,0.127
11,11,21600769,1610612764,WAS,Washington,1626162,Kelly Oubre Jr.,,,2:35,110.3,120.0,184.4,180.0,-74.1,-60.0,0.0,0.0,0.0,0.25,0.0,0.16699999999999998,0.0,0.75,0.75,0.33299999999999996,0.311,95.88,92.9,77.42,5,0.037000000000000005
12,12,21600769,1610612764,WAS,Washington,203107,Tomas Satoransky,,,1:21,125.0,125.0,239.4,225.0,-114.4,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.28,141.52,117.94,4,-0.07400000000000001
