,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
0,psi-1070-1-1,psi,Proto-Siouan,,sio,1070,blow (2),*puxą́he,,
1,pma-1070-1-1,pma,Pre-Mandan,,,1070,blow (2),*puxąh-,,
2,pmv-1070-1-1,pmv,Proto-Mississipi-Valley,,,1070,blow (2),*póɣą,,
3,ca-1070-1-1,ca,Catawba,cata1286,chc,1070,blow (2),pu•-,fs;ks,
4,ca-1070-1-2,ca,Catawba,cata1286,chc,1070,blow (2),pu•su•ʔ,fs,
5,ma-1070-1-1,ma,Mandan,mand1446,mhq,1070,blow (2),puxą́hoʔš,c,
6,pda-1070-1-1,pda,Proto-Dakota,,,1070,blow (2),*póɣą,,
7,pdh-1070-1-1,pdh,Proto-Dhegiha,,,1070,blow (2),*piɣą́,,
8,pbo-1070-1-1,pbo,Proto-Biloxi-Ofo,,,1070,blow (2),*puxuhi  (?),,
9,la-1070-1-1,la,Lakota,lako1247,lkt,1070,blow (2),*póɣą,c,
10,da-1070-1-1,da,Dakota,dako1258,dak,1070,blow (2),ipoġaŋ,wm[19b],
11,st-1070-1-1,st,Stoney,ston1242,sto,1070,blow (2),boɣą,pas,
12,op-1070-1-1,op,Omaha-Ponca,omah1247,oma,1070,blow (2),bixą́,sw[20],
13,ks-1070-1-1,ks,Kanza/Kaw,kans1243,ksk,1070,blow (2),biɣą́,rr,
14,os-1070-1-1,os,Osage,osag1243,osa,1070,blow (2),bíxoⁿ,lf[27b],
15,qu-1070-1-1,qu,Quapaw,quap1242,qua,1070,blow (2),biɣǫ́,jod,
16,bi-1070-1-1,bi,Biloxi,bilo1248,bll,1070,blow (2),apúx hoⁿní,ds[249b],
17,bi-1070-2-1,bi,Biloxi,bilo1248,bll,1070,blow (2),pxuhiⁿ´,ds[249b],
18,of-1070-1-1,of,Ofo,ofoo1242,ofo,1070,blow (2),pû´suhi,ds[328b],
