,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
0,Algeria,ALG,h,63.35,1.1178,1.1668,0.0199,0.1464,0.019456804399171003,0.0038580734450740007,0.0004411096269740001,5.7627244668e-05
1,Argentina,ARG,f,89.87,2.8242,0.4467,0.9073,0.9838,0.699744949299442,0.49674666257399996,0.314562818164205,0.135568246976336
2,Australia,AUS,b,69.13,1.6537,1.2677,0.001,0.0173,0.001449205083239,0.00039637670661700003,7.6517564387e-05,1.1283605282e-05
3,Belgium,BEL,h,82.09,2.1425,0.7344,0.6391,0.8676,0.410813837768897,0.15943573847898998,0.06463298514011301,0.016781018344888002
4,Bosnia and Herzegovina,BIH,f,80.57,2.326,0.9764,0.0371,0.5455,0.22969214605342803,0.079770161356694,0.019745509772951,0.006490033411676999
5,Brazil,BRA,a,91.6,3.3842,0.5578,0.937,0.9963,0.788481298652098,0.6619447109266651,0.509815176742791,0.405902832270686
6,Chile,CHI,b,86.83,2.7238,0.7007,0.3102,0.7779,0.32658361975637895,0.206951114199511,0.106457582173094,0.041492410678287
7,Ivory Coast,CIV,c,79.15,2.2139,1.0064,0.2233,0.7961,0.401562657818698,0.12763628028913301,0.045423107854717,0.010144812486952
8,Cameroon,CMR,a,70.12,1.3559999999999999,0.9670000000000001,0.0024,0.0113,0.0022592730205420004,0.000758713836702,0.000177122756153,2.5392448075999996e-05
9,Colombia,COL,c,87.63,2.3896,0.4174,0.7573,0.9579,0.634029133235105,0.21871801264668397,0.10917437855307002,0.049054706790559004
10,Costa Rica,CRC,d,77.45,1.5906,0.6828,0.4073,0.7152,0.285934936793189,0.07653576563146201,0.024187888070948998,0.004934916001466
11,Croatia,CRO,a,76.38,1.8123,0.9164,0.0143,0.1922,0.052868927484972995,0.022513793542897998,0.006945270960729,0.0011800815164719999
12,Ecuador,ECU,e,79.85,1.9826,0.7945,0.034,0.206,0.066871356348045,0.029462159882102996,0.010903301190379,0.002472045824491
13,England,ENG,d,82.21,2.1664,0.7412,0.082,0.3206,0.14451838968660402,0.039072978897956,0.015256470205756,0.004801762389458
14,Spain,ESP,b,86.77,2.6136,0.6381,0.0258,0.2444,0.06898069145766901,0.040909265739596995,0.020088765100509,0.008878639944985
15,France,FRA,e,86.93,2.5422,0.5791,0.6897,0.9195,0.559224099039604,0.2753931613413789,0.10540689006336301,0.046526256432293
16,Germany,GER,g,90.09,3.2869,0.6908,0.8802,0.9847,0.7980067646951892,0.551859906282169,0.253109760107228,0.15377012364040102
17,Ghana,GHA,g,76.4,1.849,0.9419,0.0052,0.1038,0.04640362383445299,0.013323382934131,0.004466937473535999,0.0007932665845989999
18,Greece,GRE,c,74.21,1.2976,0.672,0.0082,0.1416,0.057992299372482,0.016227396494636004,0.004498694272851,0.0006916459680650001
19,Honduras,HON,e,68.2,1.5045,1.2049,0.0062,0.0692,0.011858391305094,0.0033887017178149998,0.0007900590592239999,8.9961239214e-05
20,Iran,IRN,f,70.83,1.1909,0.7921,0.022,0.1915,0.051561355813633,0.011295545834824,0.00178089171704,0.000321944841931
21,Italy,ITA,d,80.19,2.0385,0.8083,0.4523,0.7486,0.34020445194056304,0.10646474559931401,0.038761930298013,0.009239670959644002
22,Japan,JPN,c,73.13,2.073,1.3309,0.0112,0.1044,0.04106968972813299,0.010416074760619,0.0026753350270349997,0.00037281480563899997
23,South Korea,KOR,h,72.42,1.6881,1.0845,0.1225,0.4028,0.089962151805625,0.023617762138257004,0.0046119991804,0.000776845024106
24,Mexico,MEX,a,77.57,1.5338,0.6336,0.0463,0.8002,0.229276905243071,0.100658616720836,0.032254235624392995,0.005796607992615
25,Netherlands,NED,b,86.88,2.8083,0.7476,0.663,0.9604,0.530100079301954,0.34615002871267603,0.181824595298952,0.066078886359195
26,Nigeria,NGA,f,74.89,1.5476,0.8186,0.0336,0.2792,0.09026592353546198,0.024162100056541,0.004677923340174,0.001049051550102
27,Portugal,POR,g,78.86,2.0356,0.9034,0.009,0.2224,0.10873193304486099,0.03529837723821799,0.013489160640286999,0.0027497502476149997
28,Russia,RUS,h,78.86,1.6526,0.6319,0.2185,0.5832,0.187902684519332,0.065393778317047,0.018174121503509,0.00431284635072
29,Switzerland,SUI,e,79.35,2.0756,0.8953,0.2701,0.8053,0.29078177860528304,0.115498563238548,0.037679221669598,0.008922698466158
30,Uruguay,URU,d,80.88,2.1937,0.8626,0.0584,0.2156,0.094688441425265,0.024646125294709997,0.009255661062548999,0.00273928731271
31,USA,USA,g,78.43,2.0989,0.9785,0.1056,0.6891,0.33872219993238695,0.111495925164214,0.038654579785077005,0.007972532290712
