,col0,col1,col2
0,"org.apache.commons.math.stat.Frequency#double#getPct#?,int#331",(getPct(Long.valueOf(v)))== 0,1
1,org.apache.commons.math.stat.Frequency#long#getSumFreq#?#220,(result)>= 0,0
2,"org.apache.commons.math.stat.Frequency#double#getPct#?,long#342",(getPct(Long.valueOf(v)))!= 0,0
3,"org.apache.commons.math.stat.Frequency#double#getPct#?,Comparable<?>#317",!(sumFreq == 0),0
4,"org.apache.commons.math.stat.Frequency#long#getCumFreq#?,Comparable<?>#382",!(getSumFreq() == 0),0
5,"org.apache.commons.math.stat.Frequency#long#getCumFreq#?,Comparable<?>#408",(getSumFreq())<= 0,1
6,"org.apache.commons.math.stat.Frequency#long#getCount#?,Comparable<?>#256",(result)<= 0,1
7,"org.apache.commons.math.stat.Frequency#long#getCumFreq#?,Comparable<?>#403","c.compare(v,freqTable.firstKey()) < 0",1
8,"org.apache.commons.math.stat.Frequency#long#getCumFreq#?,Comparable<?>#386",(getCumFreq(((Integer)v).longValue()))> 0,0
9,"org.apache.commons.math.stat.Frequency#long#getCumFreq#?,long#444",(getCumFreq(Long.valueOf(v)))<= 0,1
10,"org.apache.commons.math.stat.Frequency#double#getPct#?,Object#303",(getCumPct((Comparable<?>)v))== 0,0
11,"org.apache.commons.math.stat.Frequency#double#getCumPct#?,Comparable<?>#495",((double)getCumFreq(v) / (double)sumFreq)!= 0,0
12,"org.apache.commons.math.stat.Frequency#long#getCumFreq#?,Comparable<?>#403","!(c.compare(v,freqTable.firstKey()) < 0)",0
13,"org.apache.commons.math.stat.Frequency#double#getCumPct#?,Comparable<?>#492",!(sumFreq == 0),0
14,"org.apache.commons.math.stat.Frequency#double#getCumPct#?,Comparable<?>#492",sumFreq == 0,1
15,org.apache.commons.math.stat.Frequency#long#getSumFreq#?#220,(result)== 0,1
16,"org.apache.commons.math.stat.Frequency#void#addValue#?,Comparable<?>#139",!(count == null),0
17,"org.apache.commons.math.stat.Frequency#double#getPct#?,Object#303",(getCumPct((Comparable<?>)v))!= 0,1
18,"org.apache.commons.math.stat.Frequency#double#getPct#?,Comparable<?>#320",((double)getCount(v) / (double)sumFreq)< 0,1
19,"org.apache.commons.math.stat.Frequency#long#getCount#?,Comparable<?>#256",(result)< 0,1
20,"org.apache.commons.math.stat.Frequency#long#getCumFreq#?,long#444",(getCumFreq(Long.valueOf(v)))== 0,1
21,"org.apache.commons.math.stat.Frequency#long#getCumFreq#?,Comparable<?>#386",(getCumFreq(((Integer)v).longValue()))== 0,1
22,"org.apache.commons.math.stat.Frequency#long#getCumFreq#?,Comparable<?>#396",value != null,0
23,"org.apache.commons.math.stat.Frequency#double#getCumPct#?,Comparable<?>#495",((double)getCumFreq(v) / (double)sumFreq)>= 0,0
24,"org.apache.commons.math.stat.Frequency#long#getCount#?,Comparable<?>#250",count != null,0
25,"org.apache.commons.math.stat.Frequency#double#getCumPct#?,Comparable<?>#495",((double)getCumFreq(v) / (double)sumFreq)< 0,1
26,"org.apache.commons.math.stat.Frequency#long#getCumFreq#?,long#444",(getCumFreq(Long.valueOf(v)))> 0,0
27,"org.apache.commons.math.stat.Frequency#long#getCumFreq#?,Comparable<?>#382",getSumFreq() == 0,1
28,"org.apache.commons.math.stat.Frequency#long#getCumFreq#?,Comparable<?>#408",(getSumFreq())!= 0,0
29,"org.apache.commons.math.stat.Frequency#double#getPct#?,int#331",(getPct(Long.valueOf(v)))< 0,1
30,"org.apache.commons.math.stat.Frequency#double#getPct#?,Object#303",(getCumPct((Comparable<?>)v))> 0,1
31,"org.apache.commons.math.stat.Frequency#double#getPct#?,long#342",(getPct(Long.valueOf(v)))== 0,1
32,"org.apache.commons.math.stat.Frequency#long#getCount#?,Comparable<?>#256",(result)!= 0,0
33,"org.apache.commons.math.stat.Frequency#double#getPct#?,int#331",(getPct(Long.valueOf(v)))<= 0,1
34,"org.apache.commons.math.stat.Frequency#long#getCumFreq#?,Comparable<?>#408",(getSumFreq())> 0,0
35,"org.apache.commons.math.stat.Frequency#long#getCumFreq#?,long#444",(getCumFreq(Long.valueOf(v)))< 0,1
36,"org.apache.commons.math.stat.Frequency#double#getPct#?,long#342",(getPct(Long.valueOf(v)))<= 0,1
