,col0,col1,col2,col3,col4
0,Unnecessary Abstraction,OrchardCore.Tests.Apis.Context,PermissionsContext,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\Context\AuthenticationContext.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: AuthorizedPermissions' UsePermissionsContext
1,Unnecessary Abstraction,OrchardCore.Tests.Apis.Context,StubIdentity,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\Context\AuthenticationContext.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: AuthenticationType' IsAuthenticated' Name
2,Unutilized Abstraction,OrchardCore.Tests.Apis.Context,HttpContentExtensions,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\Context\Extensions\HttpContentExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
3,Unutilized Abstraction,OrchardCore.Tests.Apis.Context,HttpRequestExtensions,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\Context\Extensions\HttpRequestExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
4,Duplicate Abstraction,OrchardCore.Tests.Apis.Context,ModuleNamesProvider,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\Context\SiteStartup.cs,The tool detected the smell in this class because two or more abstractions have identical names. The abstractions with identical names are: OrchardCore.Tests.Apis.Context.ModuleNamesProvider' OrchardCore.Tests.Extensions.ModuleNamesProvider
5,Unutilized Abstraction,OrchardCore.Tests.Apis.GraphQL,BlogPostTests,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\Blog\BlogPostTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
6,Unutilized Abstraction,OrchardCore.Tests.Apis.GraphQL,ContentItemsFieldTypeTests,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\ContentItemsFieldTypeTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
7,Duplicate Abstraction,OrchardCore.Tests.Apis.GraphQL,ContentItemsFieldTypeTests,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\ContentItemsFieldTypeTests.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  ContentItemsFieldTypeTests (C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\ContentItemsFieldTypeTests.cs' [119' 154])' ContentItemsFieldTypeTests (C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\ContentItemsFieldTypeTests.cs' [170' 205])
8,Duplicate Abstraction,OrchardCore.Tests.Apis.GraphQL,ContentItemsFieldTypeTests,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\ContentItemsFieldTypeTests.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  ContentItemsFieldTypeTests (C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\ContentItemsFieldTypeTests.cs' [119' 146])' ContentItemsFieldTypeTests (C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\ContentItemsFieldTypeTests.cs' [333' 360])' ContentItemsFieldTypeTests (C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\ContentItemsFieldTypeTests.cs' [170' 197])
9,Unnecessary Abstraction,OrchardCore.Tests.Apis.GraphQL,Animal,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\ContentItemsFieldTypeTests.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Name' IsHappy' IsScary
10,Duplicate Abstraction,OrchardCore.Tests.Apis.GraphQL,Animal,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\ContentItemsFieldTypeTests.cs,The tool detected the smell in this class because two or more abstractions have identical names. The abstractions with identical names are: OrchardCore.Tests.Apis.GraphQL.Animal' OrchardCore.Tests.DisplayManagement.Animal
11,Unnecessary Abstraction,OrchardCore.Tests.Apis.GraphQL,AnimalPart,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\ContentItemsFieldTypeTests.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
12,Unnecessary Abstraction,OrchardCore.Tests.Apis.GraphQL,AnimalIndex,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\ContentItemsFieldTypeTests.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Name
13,Unnecessary Abstraction,OrchardCore.Tests.Apis.GraphQL,AnimalTraitsIndex,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\ContentItemsFieldTypeTests.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: IsHappy' IsScary
14,Unutilized Abstraction,OrchardCore.Tests.Apis.GraphQL,RecentBlogPostsQueryTests,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\Queries\RecentBlogPostsQueryTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
15,Unutilized Abstraction,OrchardCore.Tests.Apis.GraphQL.Client,ContentTypeQueryResourceBuilderTests,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\Client\ContentTypeQueryResourceBuilderTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
16,Unutilized Abstraction,OrchardCore.Tests.Apis.GraphQL.ValidationRules,RequiresPermissionValidationRuleTests,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Apis\GraphQL\ValidationRules\RequiresPermissionValidationRuleTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
17,Unutilized Abstraction,OrchardCore.Tests.Commands,CommandHandlerDescriptorBuilderTests,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Commands\CommandHandlerDescriptorBuilderTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
18,Unutilized Abstraction,OrchardCore.Tests.Commands,CommandsTests,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Commands\CommandHandlerTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
19,Unutilized Abstraction,OrchardCore.Tests.Commands,CommandManagerTests,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Commands\CommandManagerTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
20,Unutilized Abstraction,OrchardCore.Tests.Data,ContentItemExtensions,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Data\ContentItemExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
21,Unnecessary Abstraction,OrchardCore.Tests.Data,CustomPart,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Data\ContentItemExtensions.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Value' Field
22,Unutilized Abstraction,OrchardCore.Tests.Data,ContentItemTests,C:\research\architectureSmells\repos\OrchardCMS_Brochard\test\OrchardCore.Tests\Data\ContentItemTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
