,col0,col1,col2,col3,col4,col5,col6
0,1,Browser,Open the Url [<Data>] in the Browser,Open,URL_Global:URL,,
1,2,firstname,Click the [<Object>] ,Click,,,Demo
2,3,firstname,Enter the value [<Data>] in the Field [<Object>],Set,@Cognizant,,Demo
3,4,lastname,Click the [<Object>] ,Click,,,Demo
4,5,lastname,Enter the value [<Data>] in the Field [<Object>],Set,@Intelligent Test Scripter,,Demo
5,6,Sex,Click the [<Object>] ,Click,,,Demo
6,7,Years of Experience,Click the [<Object>] ,Click,,,Demo
7,8,datepicker,Click the [<Object>] ,Click,,,Demo
8,9,datepicker,Enter the value [<Data>] in the Field [<Object>],Set,@01/01/2017,,Demo
9,10,Execute,,BasicFeatures:Reusable,,,
10,11,Button,Click the [<Object>] ,Click,,,Demo
11,12,"Text1
 Text2",Assert if [<Object>] element is displayed,assertElementDisplayed,,,Demo
