,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
0,mouclass.sys,66872,1,1243807672,2009-05-31T22:07:52.000Z,imports,ntoskrnl.dll,EtwSetInformation,2636838b7f077f20c9fe4eb6c4762887,152b4d9dca39cebe703acacfcd4d020ea65e503ba417811c5168bbd64fd51840,c:\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_6adb102ddb684c9b\mouclass.sys
1,mouclass.sys,66872,1,1243807672,2009-05-31T22:07:52.000Z,imports,ntoskrnl.dll,EtwUnregister,2636838b7f077f20c9fe4eb6c4762887,152b4d9dca39cebe703acacfcd4d020ea65e503ba417811c5168bbd64fd51840,c:\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_6adb102ddb684c9b\mouclass.sys
2,mouclass.sys,66872,1,1243807672,2009-05-31T22:07:52.000Z,imports,ntoskrnl.dll,EtwWriteTransfer,2636838b7f077f20c9fe4eb6c4762887,152b4d9dca39cebe703acacfcd4d020ea65e503ba417811c5168bbd64fd51840,c:\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_6adb102ddb684c9b\mouclass.sys
3,mouclass.sys,66872,1,1243807672,2009-05-31T22:07:52.000Z,imports,ntoskrnl.dll,ExAcquireFastMutex,2636838b7f077f20c9fe4eb6c4762887,152b4d9dca39cebe703acacfcd4d020ea65e503ba417811c5168bbd64fd51840,c:\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_6adb102ddb684c9b\mouclass.sys
4,mouclass.sys,66872,1,1243807672,2009-05-31T22:07:52.000Z,imports,ntoskrnl.dll,ExAllocatePoolWithTag,2636838b7f077f20c9fe4eb6c4762887,152b4d9dca39cebe703acacfcd4d020ea65e503ba417811c5168bbd64fd51840,c:\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_6adb102ddb684c9b\mouclass.sys
5,mouclass.sys,66872,1,1243807672,2009-05-31T22:07:52.000Z,imports,ntoskrnl.dll,ExFreePoolWithTag,2636838b7f077f20c9fe4eb6c4762887,152b4d9dca39cebe703acacfcd4d020ea65e503ba417811c5168bbd64fd51840,c:\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_6adb102ddb684c9b\mouclass.sys
6,mouclass.sys,66872,1,1243807672,2009-05-31T22:07:52.000Z,imports,ntoskrnl.dll,ExReleaseFastMutex,2636838b7f077f20c9fe4eb6c4762887,152b4d9dca39cebe703acacfcd4d020ea65e503ba417811c5168bbd64fd51840,c:\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_6adb102ddb684c9b\mouclass.sys
7,mouclass.sys,66872,1,1243807672,2009-05-31T22:07:52.000Z,imports,ntoskrnl.dll,IoAcquireRemoveLockEx,2636838b7f077f20c9fe4eb6c4762887,152b4d9dca39cebe703acacfcd4d020ea65e503ba417811c5168bbd64fd51840,c:\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_6adb102ddb684c9b\mouclass.sys
8,mouclass.sys,66872,1,1243807672,2009-05-31T22:07:52.000Z,imports,ntoskrnl.dll,IoAllocateErrorLogEntry,2636838b7f077f20c9fe4eb6c4762887,152b4d9dca39cebe703acacfcd4d020ea65e503ba417811c5168bbd64fd51840,c:\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_6adb102ddb684c9b\mouclass.sys
9,mouclass.sys,66872,1,1243807672,2009-05-31T22:07:52.000Z,imports,ntoskrnl.dll,IoAllocateWorkItem,2636838b7f077f20c9fe4eb6c4762887,152b4d9dca39cebe703acacfcd4d020ea65e503ba417811c5168bbd64fd51840,c:\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_6adb102ddb684c9b\mouclass.sys
10,mouclass.sys,66872,1,1243807672,2009-05-31T22:07:52.000Z,imports,ntoskrnl.dll,IoAttachDeviceToDeviceStack,2636838b7f077f20c9fe4eb6c4762887,152b4d9dca39cebe703acacfcd4d020ea65e503ba417811c5168bbd64fd51840,c:\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_6adb102ddb684c9b\mouclass.sys
11,mouclass.sys,66872,1,1243807672,2009-05-31T22:07:52.000Z,imports,ntoskrnl.dll,IoBuildDeviceIoControlRequest,2636838b7f077f20c9fe4eb6c4762887,152b4d9dca39cebe703acacfcd4d020ea65e503ba417811c5168bbd64fd51840,c:\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_6adb102ddb684c9b\mouclass.sys
12,mouclass.sys,66872,1,1243807672,2009-05-31T22:07:52.000Z,imports,ntoskrnl.dll,IoCancelIrp,2636838b7f077f20c9fe4eb6c4762887,152b4d9dca39cebe703acacfcd4d020ea65e503ba417811c5168bbd64fd51840,c:\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_6adb102ddb684c9b\mouclass.sys
13,mouclass.sys,66872,1,1243807672,2009-05-31T22:07:52.000Z,imports,ntoskrnl.dll,IoCreateDevice,2636838b7f077f20c9fe4eb6c4762887,152b4d9dca39cebe703acacfcd4d020ea65e503ba417811c5168bbd64fd51840,c:\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_6adb102ddb684c9b\mouclass.sys
14,mouclass.sys,66872,1,1243807672,2009-05-31T22:07:52.000Z,imports,ntoskrnl.dll,IoDeleteDevice,2636838b7f077f20c9fe4eb6c4762887,152b4d9dca39cebe703acacfcd4d020ea65e503ba417811c5168bbd64fd51840,c:\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_6adb102ddb684c9b\mouclass.sys
