,col0,col1,col2,col3,col4,col5
0,Complex Method,SuperWebSocket,WebSocketServer<TWebSocketSession>,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\WebSocketServer.cs,SetupSubProtocols,Cyclomatic complexity of the method is 16
1,Complex Method,SuperWebSocket,WebSocketServer<TWebSocketSession>,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\WebSocketServer.cs,HandshakePendingQueueCheckingCallback,Cyclomatic complexity of the method is 9
2,Complex Method,SuperWebSocket,WebSocketServer<TWebSocketSession>,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\WebSocketServer.cs,ParseHandshake,Cyclomatic complexity of the method is 10
3,Complex Method,SuperWebSocket.Protocol,WebSocketDataReceiveFilter,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\Protocol\WebSocketDataReceiveFilter.cs,Filter,Cyclomatic complexity of the method is 12
4,Complex Method,SuperWebSocket.Protocol,WebSocketHeaderReceiveFilter,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\Protocol\WebSocketHeaderReceiveFilter.cs,Filter,Cyclomatic complexity of the method is 13
5,Complex Method,SuperWebSocket.SubProtocol,BasicSubProtocol<TWebSocketSession>,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\SubProtocol\BasicSubProtocol.cs,Initialize,Cyclomatic complexity of the method is 8
6,Long Parameter List,SuperWebSocket,WebSocketServer<TWebSocketSession>,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\WebSocketServer.cs,Broadcast,The method has 5 parameters. Parameters: sessions' data' offset' length' sendFeedback
7,Long Parameter List,SuperWebSocket.Protocol,DraftHybi10Processor,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\Protocol\DraftHybi10Processor.cs,SendPackage,The method has 5 parameters. Parameters: session' opCode' data' offset' length
8,Long Parameter List,SuperWebSocket.Protocol,DraftHybi10Processor,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\Protocol\DraftHybi10Processor.cs,TrySendPackage,The method has 5 parameters. Parameters: session' opCode' data' offset' length
9,Long Parameter List,SuperWebSocket.Protocol,WebSocketDataFrameReceiveFilter,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\Protocol\WebSocketDataFrameReceiveFilter.cs,AddArraySegment,The method has 5 parameters. Parameters: segments' buffer' offset' length' toBeCopied
10,Long Parameter List,SuperWebSocket.Protocol,WebSocketDataFrameReceiveFilter,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\Protocol\WebSocketDataFrameReceiveFilter.cs,Filter,The method has 5 parameters. Parameters: readBuffer' offset' length' toBeCopied' left
11,Long Parameter List,SuperWebSocket.Protocol,WebSocketSecKey3ReceiveFilter,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\Protocol\WebSocketSecKey3ReceiveFilter.cs,Filter,The method has 5 parameters. Parameters: readBuffer' offset' length' isReusableBuffer' rest
12,Long Parameter List,SuperWebSocket.Protocol,WebSocketDataReceiveFilter,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\Protocol\WebSocketDataReceiveFilter.cs,Filter,The method has 5 parameters. Parameters: readBuffer' offset' length' isReusableBuffer' rest
13,Long Parameter List,SuperWebSocket.Protocol,WebSocketHeaderReceiveFilter,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\Protocol\WebSocketHeaderReceiveFilter.cs,Filter,The method has 5 parameters. Parameters: readBuffer' offset' length' isReusableBuffer' rest
14,Long Identifier,SuperWebSocket,WebSocketServer<TWebSocketSession>,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\WebSocketServer.cs,,The length of the parameter m_HandshakePendingQueueCheckingInterval is 39.
15,Long Identifier,SuperWebSocket,WebSocketServer<TWebSocketSession>,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\WebSocketServer.cs,,The length of the parameter m_HandshakePendingQueueCheckingTimer is 36.
16,Long Statement,SuperWebSocket,WebSocketServer<TWebSocketSession>,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\WebSocketServer.cs,SetupSubProtocols,"The length of the statement  ""            var subProtocolConfigDict = new Dictionary<string' SubProtocolConfig>(subProtocolConfigSection == null ? 0 : subProtocolConfigSection.Count' StringComparer.OrdinalIgnoreCase); "" is 175."
17,Long Statement,SuperWebSocket,WebSocketServer<TWebSocketSession>,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\WebSocketServer.cs,SetupSubProtocols,"The length of the statement  ""                                subProtocolInstance = AssemblyUtil.CreateInstance<ISubProtocol<TWebSocketSession>>(protocolConfig.Type' new object[] { originalProtocolName }); "" is 143."
18,Long Statement,SuperWebSocket,WebSocketServer<TWebSocketSession>,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\WebSocketServer.cs,SetupSubProtocols,"The length of the statement  ""            if (m_SubProtocols.Count <= 0 || (subProtocolConfigDict.ContainsKey(BasicSubProtocol<TWebSocketSession>.DefaultName) && !m_SubProtocols.ContainsKey(BasicSubProtocol<TWebSocketSession>.DefaultName))) "" is 198."
19,Long Statement,SuperWebSocket,WebSocketServer<TWebSocketSession>,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\WebSocketServer.cs,Setup,"The length of the statement  ""            if (!int.TryParse(config.Options.GetValue(""handshakePendingQueueCheckingInterval"")' out m_HandshakePendingQueueCheckingInterval)) "" is 129."
20,Long Statement,SuperWebSocket,WebSocketServer<TWebSocketSession>,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\WebSocketServer.cs,OnStarted,"The length of the statement  ""            m_HandshakePendingQueueCheckingTimer = new Timer(HandshakePendingQueueCheckingCallback' null' m_HandshakePendingQueueCheckingInterval * 1000' m_HandshakePendingQueueCheckingInterval * 1000); "" is 190."
21,Long Statement,SuperWebSocket,WebSocketServer<TWebSocketSession>,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\WebSocketServer.cs,HandshakePendingQueueCheckingCallback,"The length of the statement  ""                m_HandshakePendingQueueCheckingTimer.Change(m_HandshakePendingQueueCheckingInterval * 1000' m_HandshakePendingQueueCheckingInterval * 1000); "" is 140."
22,Long Statement,SuperWebSocket.Protocol,DraftHybi00Processor,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\Protocol\DraftHybi00Processor.cs,Handshake,"The length of the statement  ""            if (!session.AppServer.ValidateHandshake(session' session.Items.GetValue<string>(WebSocketConstant.Origin' string.Empty))) "" is 122."
23,Long Statement,SuperWebSocket.Protocol,DraftHybi00Processor,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\Protocol\DraftHybi00Processor.cs,Handshake,"The length of the statement  ""            responseBuilder.AppendFormatWithCrCf(WebSocketConstant.ResponseLocationLine' session.UriScheme' session.Host' session.Path); "" is 124."
24,Long Statement,SuperWebSocket.Protocol,DraftHybi00Processor,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\Protocol\DraftHybi00Processor.cs,Handshake,"The length of the statement  ""            var subProtocol = session.GetAvailableSubProtocol(session.Items.GetValue<string>(WebSocketConstant.SecWebSocketProtocol' string.Empty)); "" is 136."
25,Long Statement,SuperWebSocket.Protocol,DraftHybi10Processor,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\Protocol\DraftHybi10Processor.cs,Handshake,"The length of the statement  ""            var subProtocol = session.GetAvailableSubProtocol(session.Items.GetValue<string>(WebSocketConstant.SecWebSocketProtocol' string.Empty)); "" is 136."
26,Long Statement,SuperWebSocket.Protocol,DraftHybi10Processor,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\Protocol\DraftHybi10Processor.cs,SendCloseHandshake,"The length of the statement  ""            byte[] playloadData = new byte[(string.IsNullOrEmpty(closeReason) ? 0 : Encoding.UTF8.GetMaxByteCount(closeReason.Length)) + 2]; "" is 128."
27,Long Statement,SuperWebSocket.Protocol,WebSocketDataReceiveFilter,D:\research\architectureSmells\repos\kerryjiang_SuperWebSocket\SuperWebSocket\Protocol\WebSocketDataReceiveFilter.cs,Filter,"The length of the statement  ""                            var commandInfo = new PlainFragment(Encoding.UTF8.GetString(readBuffer' offset + skipByteCount' i - offset - skipByteCount)); "" is 125."
