,col0,col1,col2,col3,col4
0,Unutilized Abstraction,Consumables,AppDelegate,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\InAppPurchase\Consumables\AppDelegate.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
1,Unutilized Abstraction,Consumables,SKProductExtension,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\InAppPurchase\Consumables\SKProductExtension.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2,Deficient Encapsulation,Consumables,InAppPurchaseManager,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\InAppPurchase\Consumables\InAppPurchaseManager.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: InAppPurchaseManagerProductsFetchedNotification' InAppPurchaseManagerTransactionFailedNotification' InAppPurchaseManagerTransactionSucceededNotification' InAppPurchaseManagerRequestFailedNotification
3,Deficient Encapsulation,Consumables,InAppPurchaseManager,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\InAppPurchase\Consumables\InAppPurchaseManager.cs,The tool detected the smell in this class because the class declares global (public static) fields. Following fields are declared with public static modifiers: InAppPurchaseManagerProductsFetchedNotification' InAppPurchaseManagerTransactionFailedNotification' InAppPurchaseManagerTransactionSucceededNotification' InAppPurchaseManagerRequestFailedNotification
4,Deficient Encapsulation,Consumables,ConsumableViewController,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\InAppPurchase\Consumables\ConsumableViewController.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: Buy5ProductId' Buy10ProductId
5,Deficient Encapsulation,Consumables,ConsumableViewController,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\InAppPurchase\Consumables\ConsumableViewController.cs,The tool detected the smell in this class because the class declares global (public static) fields. Following fields are declared with public static modifiers: Buy5ProductId' Buy10ProductId
6,Cyclically-dependent Modularization,Consumables,InAppPurchaseManager,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\InAppPurchase\Consumables\InAppPurchaseManager.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Consumables.InAppPurchaseManager' Consumables.ConsumableViewController
7,Cyclically-dependent Modularization,Consumables,CustomPaymentObserver,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\InAppPurchase\Consumables\CustomPaymentObserver.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Consumables.CustomPaymentObserver' Consumables.InAppPurchaseManager
8,Cyclically-dependent Modularization,Consumables,ConsumableViewController,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\InAppPurchase\Consumables\ConsumableViewController.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Consumables.ConsumableViewController' Consumables.InAppPurchaseManager' Consumables.CustomPaymentObserver
9,Rebellious Hierarchy,Consumables,CustomPaymentObserver,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\InAppPurchase\Consumables\CustomPaymentObserver.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: PaymentQueueRestoreCompletedTransactionsFinished
