,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
0,1.0,20.0,15750.0,15750.0,389.0,0.0,7203.0,0.0,-6297.0,6372.0,7200.0,6297.0,0.0246984126984127,0.0012482539682539685,,70851.0,72073.0,4637.0,146003.0,70909.0,70755.0,84506.0,5007.0,9369703.0,70782.0
1,2.0,19.0,26250.0,26250.0,366.0,0.0,4322.0,0.0,-3815.0,3814.0,4320.0,3815.0,0.013942857142857142,0.000748952380952381,,66745.0,67957.0,4642.0,219896.0,66745.0,66655.0,83723.0,3659.0,11189480.0,66691.0
2,3.0,18.0,28350.0,28350.0,138.0,0.0,4002.0,0.0,-3417.0,3416.0,4000.0,3417.0,0.004867724867724868,0.0006934744268077603,,25654.0,26902.0,13659.0,289829.0,25709.0,25617.0,107307.0,12640.0,11538371.0,25617.0
3,4.0,17.0,33750.0,33750.0,1624.0,0.0,3362.0,80.0,-3028.0,3099.0,3360.0,3108.0,0.04811851851851852,0.0005825185185185187,,293323.0,328562.0,6202.0,318973.0,293616.0,293229.0,382851.0,5909.0,12213588.0,293268.0
4,5.0,16.0,40000.0,40000.0,3920.0,0.0,2836.0,1350.0,-1329.0,2650.0,2835.0,2679.0,0.098,0.0004915000000000001,,706857.0,1187641.0,4642.0,496654.0,763648.0,706734.0,826803.0,423724.0,12628128.0,707565.0
5,6.0,15.0,45000.0,45000.0,1957.0,0.0,2521.0,344.0,-2052.0,2387.0,2520.0,2396.0,0.04348888888888889,0.00043688888888888884,,353294.0,463292.0,4031.0,1206703.0,360951.0,353209.0,462710.0,1197461.0,13171175.0,353315.0
6,7.0,14.0,47250.0,47250.0,816.0,0.0,2401.0,135.0,-1996.0,2129.0,2400.0,2131.0,0.01726984126984127,0.0004160846560846561,,147738.0,938318.0,80111.0,1563240.0,175274.0,147643.0,225972.0,1080436.0,13424678.0,147681.0
7,8.0,13.0,50000.0,50000.0,230.0,0.0,2269.0,52.0,-1906.0,1956.0,2268.0,1958.0,0.0046,0.0003932,,42270.0,671040.0,4649.0,1714321.0,45905.0,42175.0,122176.0,1703696.0,13896931.0,42199.0
8,9.0,12.0,56250.0,56250.0,262.0,0.0,2017.0,24.0,-1764.0,1787.0,2016.0,1788.0,0.004657777777777778,0.0003495111111111112,,48016.0,841929.0,48688.0,1759859.0,51279.0,47921.0,126480.0,1748539.0,14946862.0,47959.0
9,10.0,11.0,60000.0,60000.0,8984.0,0.0,1891.0,3159.0,1361.0,1766.0,1890.0,1798.0,0.14973333333333333,0.0003276666666666667,,1619054.0,2717391.0,4666.0,1811333.0,1863698.0,1618987.0,2042248.0,1799184.0,14149894.0,1622350.0
