,col0,col1,col2,col3,col4
0,<html><head><title>Yahoo!,-,404,Not,Found</title><style>
1,/*,nn4,hide,*/,
2,/*/*/,,,,
3,body,{font:small/1.2em,"arial,helvetica,clean,sans-serif;font:x-small;text-align:center;}table",{font-size:inherit;font:x-small;},
4,form,{position:relative;background:#eee;margin-bottom:15px;border:1px,solid,#ccc;border-width:1px,0;}
5,#s1p,{width:15em;margin-right:.1em;},,,
6,/*,end,nn4,hide,*/
7,</style></head>,,,,
8,<body><div,"id=""doc"">",,,
9,<div,"id=""ygma""><a","href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com""><img",,
10,src=http://l.yimg.com/a/i/yahoo.gif,,,,
11,width=147,height=31,border=0,"alt=""Yahoo!""></a><div><a",
12,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo!</a>",,,,
13,,-,<a,"href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Help</a></div></div>",
14,<strong><a,,,,
15,"href=""http://us.rd.yahoo.com/404/*http://www.yahoo.com"">Yahoo!",home,,,
16,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/docs/family/more/"">Yahoo!'s",,,,
17,if,you,try,searching,below.</p>
18,<form,"name=""s1""","action=""http://us.rd.yahoo.com/404/*-http://search.yahoo.com/search""><fieldset>",,
19,<legend><label,"for=""s1p"">Search",the,Web</label></legend>,
20,<input,"type=""submit""","value=""Search"">",,
21,</fieldset></form>,,,,
22,<p,"class=""more"">Please",try,<strong><a,
23,"href=""http://us.rd.yahoo.com/404/*http://help.yahoo.com"">Yahoo!",,,,
24,All,rights,reserved.,<a,
25,"href=""http://us.rd.yahoo.com/404/*http://privacy.yahoo.com"">Privacy",,,,
26,Policy</a>,-,<a,,
27,"href=""http://us.rd.yahoo.com/404/*http://docs.yahoo.com/info/terms/"">Terms",,,,
28,of,Service</a></p></div>,,,
29,</div></body></html>,,,,
