,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
0,,1,1,1,1,,,,,,,,,449
1,,2,1,4,2,,,,,,,,,450
2,,3,4,1,3,,,,,,,,,451
3,,4,4,4,4,,,,,,,,,452
4,,5,1,2,4,,,,,,,,,453
5,,6,1,5,3,,,,,,,,,454
6,,7,4,7,2,,,,,,,,,455
7,,8,4,8,1,,,,,,,,,456
8,,9,1,3,1,,,,,,,,,457
9,,10,1,6,2,,,,,,,,,458
10,,11,4,3,3,,,,,,,,,459
11,,12,4,6,4,,,,,,,,,460
12,,13,2,1,1,,,,,,,,,461
13,,14,2,4,2,,,,,,,,,462
14,,15,5,1,3,,,,,,,,no seeds,463
15,,16,5,4,4,,,,,,,,,464
16,,17,2,2,4,,,,,,,,,465
17,,18,2,5,3,,,,,,,,,466
18,,19,5,2,2,,,,,,,,,467
19,,20,5,5,1,,,,,,,,,468
20,,21,2,3,1,,,,,,,,,469
21,,22,2,6,2,,,,,,,,,470
22,,23,5,3,3,,,,,,,,,471
23,,24,5,6,4,,,,,,,,,472
24,,25,3,1,1,,,,,,,,,473
25,,26,3,4,2,,,,,,,,,474
26,,27,6,1,3,,,,,,,,,475
27,,28,6,4,4,,,,,,,,,476
28,,29,3,2,4,,,,,,,,,477
29,,30,3,5,3,,,,,,,,,478
30,,31,6,2,2,,,,,,,,,479
31,,32,6,5,1,,,,,,,,,480
32,,33,3,3,1,,,,,,,,,481
33,,34,3,6,2,,,,,,,,,482
34,,35,6,3,3,,,,,,,,,483
35,,36,6,6,4,,,,,,,,,484
