,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
0,1616783400916533521,,247,,1616783400,915864352,'',11.68000030517578,-0.07999999821186066,,,,0.7200000286102295,2,0,3,True,"[3.8929998874664307, 3.8929998874664307, 3.8929998874664307]","""id0""",''
1,1616783402911957324,,248,,1616783402,911423749,'',11.678000450134276,-0.6000000238418579,,,,0.7200000286102295,2,0,3,True,"[3.8910000324249268, 3.8910000324249268, 3.8910000324249268]","""id0""",''
2,1616783404909307087,,249,,1616783404,908727664,'',11.675999641418455,-0.33000001311302185,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
3,1616783406909041377,,250,,1616783406,908431781,'',11.677000045776367,-0.2899999916553497,,,,0.7200000286102295,2,0,3,True,"[3.8910000324249268, 3.8910000324249268, 3.8910000324249268]","""id0""",''
4,1616783408911104884,,251,,1616783408,910452727,'',11.673999786376953,-0.25,,,,0.7200000286102295,2,0,3,True,"[3.8910000324249268, 3.8910000324249268, 3.8910000324249268]","""id0""",''
5,1616783410908244082,,252,,1616783410,907734381,'',11.675000190734865,-0.20999999344348907,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
6,1616783412908348880,,253,,1616783412,907573191,'',11.678000450134276,-0.18000000715255735,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
7,1616783414910137812,,254,,1616783414,909360898,'',11.677000045776367,-0.15000000596046448,,,,0.7200000286102295,2,0,3,True,"[3.8910000324249268, 3.8910000324249268, 3.8910000324249268]","""id0""",''
8,1616783416907652080,,255,,1616783416,906998523,'',11.675999641418455,-0.119999997317791,,,,0.7200000286102295,2,0,3,True,"[3.8910000324249268, 3.8910000324249268, 3.8910000324249268]","""id0""",''
9,1616783418909669902,,256,,1616783418,909085341,'',11.677000045776367,-0.10000000149011612,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
10,1616783420909209138,,257,,1616783420,908452286,'',11.675999641418455,-0.09000000357627869,,,,0.7200000286102295,2,0,3,True,"[3.8910000324249268, 3.8910000324249268, 3.8910000324249268]","""id0""",''
11,1616783422907951362,,258,,1616783422,907173398,'',11.678000450134276,-0.07999999821186066,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
12,1616783424906085664,,259,,1616783424,905633335,'',11.677000045776367,-0.07000000029802322,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
13,1616783426906893016,,260,,1616783426,906260571,'',11.675999641418455,-0.07000000029802322,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
14,1616783428905666226,,261,,1616783428,904954772,'',11.677000045776367,-0.07000000029802322,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
15,1616783430907808079,,262,,1616783430,907131098,'',11.677000045776367,-0.07000000029802322,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
16,1616783432906899812,,263,,1616783432,906346937,'',11.678000450134276,-0.07000000029802322,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
17,1616783434905429008,,264,,1616783434,904974291,'',11.678000450134276,-0.07000000029802322,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
18,1616783436907085308,,265,,1616783436,906269834,'',11.677000045776367,-0.07000000029802322,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
19,1616783438906472277,,266,,1616783438,905663702,'',11.675999641418455,-0.07999999821186066,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
20,1616783440905736801,,267,,1616783440,905130355,'',11.675999641418455,-0.07000000029802322,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
21,1616783442904348756,,268,,1616783442,903773545,'',11.678000450134276,-0.07000000029802322,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
22,1616783444905339688,,269,,1616783444,904667794,'',11.675999641418455,-0.07000000029802322,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
23,1616783446902795059,,270,,1616783446,902213098,'',11.678999900817873,-0.07000000029802322,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
24,1616783448902597020,,271,,1616783448,901979387,'',11.678000450134276,-0.07000000029802322,,,,0.7200000286102295,2,0,3,True,"[3.8910000324249268, 3.8910000324249268, 3.8910000324249268]","""id0""",''
25,1616783450902309861,,272,,1616783450,901537597,'',11.675000190734865,-0.07999999821186066,,,,0.7200000286102295,2,0,3,True,"[3.8910000324249268, 3.8910000324249268, 3.8910000324249268]","""id0""",''
26,1616783452902181833,,273,,1616783452,901349221,'',11.677000045776367,-0.09000000357627869,,,,0.7200000286102295,2,0,3,True,"[3.8919999599456787, 3.8919999599456787, 3.8919999599456787]","""id0""",''
