,col0,col1,col2,col3,col4,col5
0,1,",,,,,,,,,",GND VIA,10,,
1,2,U1,HTSOP-8-1EP_3.9x4.9mm_Pitch1.27mm,1,DRV8870,
2,3,C1,CP_Elec_6.3x7.7,1,47u,
3,4,C2,C_0603,1,0.1u,
4,5,P1,100MIL_ST,1,PWR,
5,6,P2,100MIL_ST,1,DIR,
6,7,P3,100MIL_ST,1,VREF,
7,8,P4,100MIL_ST,1,MOTOR,
8,9,R1,R_1812,1,0.1,
9,,,,,,
10,Id,Designator,Package,Quantity,Designation,Supplier and ref
11,1,",,,,,,,,,,,,,,,,",GND VIA,17,,
12,2,C1,C_0603,1,0.1uF,
13,3,"C2,C3",C_0603,2,22pF,
14,4,IC1,QFN-24-1EP_4x4mm_Pitch0.5mm,1,ATTINY24A-M,
15,5,P1,100MIL_ST,1,MOTOR,
16,6,P2,100MIL_ST,1,VREF,
17,7,"P3,P4",100MIL_ST,2,POWER,
18,8,P5,Pin_Header_Straight_2x03_Pitch2.54mm,1,ICSP,
19,9,Q1,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,DMHC3025LSD,
20,10,"Q2,Q3",SOT-23,2,Q_NMOS_DGS,
21,11,"R1,R3,R4,R5",R_0603,4,1K,
22,12,R2,R_1812,1,R,
23,13,Y1,Crystal_HC49-U_Vertical,1,Crystal,
24,,,,,,
25,,,,,,
26,,,,,,
27,Id,Designator,Package,Quantity,Designation,Supplier and ref
28,1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",GND VIA,37,,
29,2,"Q1,Q1,Q1",SOIC-8_3.9x4.9mm_Pitch1.27mm,3,DMHC3025LSD,
30,3,"C3,C4",C_0603,2,10n,
31,4,"P2,P5",100MIL_ST,2,PWR,
32,5,P3,100MIL_ST,1,VREF,
33,6,P4,100MIL_ST,1,DIR,
34,7,"R1,R2,R3,R4,R5,R6,R7,R8,R11,R12",R_0603,10,10K,
35,8,"R9,R10",R_0603,2,1K,
36,9,R13,R_1812,1,R,
37,10,U1,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,LM324,
38,11,U2,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,LM339,
39,12,P1,100MIL_ST,1,MOTOR,
40,13,"C1,C2",C_0603,2,0.1uF,
41,14,P6,100MIL_ST,1,PWM,
42,15,"R14,R15",R_0603,2,150,
