,col0,col1,col2,col3,col4
0,527.4,527.6556,Hand,FailOnTouchObstacleShort,RightGate
1,527.4,527.6556,Hand,FailOnTouchObstacleLong,LeftGate
2,527.4,527.6556,Hand,FailOnTouchObstacleMed,RightGate
3,527.4445,527.9778,HandToWrist,FailOnTouchObstacleShort,RightGate
4,527.4445,527.9778,HandToWrist,FailOnTouchObstacleLong,LeftGate
5,527.4445,527.9778,HandToWrist,FailOnTouchObstacleMed,RightGate
6,527.5889,529.8667,WristToElbow,FailOnTouchObstacleShort,RightGate
7,527.5889,529.8667,WristToElbow,FailOnTouchObstacleLong,LeftGate
8,527.5889,529.8667,WristToElbow,FailOnTouchObstacleMed,RightGate
9,528.2667,528.6889,Hand,FailOnTouchObstacleMed-1,LeftGate
10,528.2667,528.6889,Hand,FailOnTouchObstacleLong-1,RightGate
11,528.3445,529.7,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
12,528.3445,529.7,HandToWrist,FailOnTouchObstacleLong-1,RightGate
13,528.3556,528.6889,Hand,FailOnTouchObstacleShort-1,LeftGate
14,528.5111,529.7,HandToWrist,FailOnTouchObstacleShort-1,LeftGate
15,528.6223,529.5778,WristToElbow,FailOnTouchObstacleShort-1,LeftGate
16,528.6223,529.5778,WristToElbow,FailOnTouchObstacleMed-1,LeftGate
17,528.6223,529.5778,WristToElbow,FailOnTouchObstacleLong-1,RightGate
18,529.3785,,Hand,Target,PickedUp
19,529.5333,529.7111,Hand,FailOnTouchObstacleLong-1,RightGate
20,529.5333,529.7111,Hand,FailOnTouchObstacleMed-1,LeftGate
21,529.5333,529.7111,Hand,FailOnTouchObstacleShort-1,LeftGate
22,529.8,529.9222,HandToWrist,FailOnTouchObstacleLong,LeftGate
23,529.8,529.9222,HandToWrist,FailOnTouchObstacleMed,RightGate
24,529.8,529.9222,HandToWrist,FailOnTouchObstacleShort,RightGate
25,529.8334,529.9333,Hand,FailOnTouchObstacleLong,LeftGate
26,529.8334,529.9333,Hand,FailOnTouchObstacleMed,RightGate
27,529.8334,529.9333,Hand,FailOnTouchObstacleShort,RightGate
