,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
0,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,??0exception@@QAE@ABQBDH@Z,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
1,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,??0exception@@QAE@ABV0@@Z,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
2,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,??0exception@@QAE@XZ,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
3,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,??1exception@@UAE@XZ,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
4,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,??1type_info@@UAE@XZ,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
5,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,??3@YAXPAX@Z,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
6,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,?what@exception@@UBEPBDXZ,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
7,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,_CxxThrowException,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
8,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,_XcptFilter,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
9,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,__CxxFrameHandler3,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
10,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,__dllonexit,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
11,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,_amsg_exit,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
12,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,_callnewh,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
13,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,_except_handler4_common,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
14,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,_initterm,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
15,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,_lock,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
16,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,_onexit,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
17,UserLanguageProfileCallback.dll,44032,3,4281458803,2105-09-03T22:06:43.000Z,imports,msvcrt.dll,_purecall,a2211dbb35831050f637c1d7b9119e2b,1258603d06fb10023253ecfac2802b3baef09e4b123eaf4245606ce1aa20731c,c:\Windows\WinSxS\wow64_microsoft-windows-languagesdb-onecore_31bf3856ad364e35_10.0.18362.1_none_47fa240f0a72f664\UserLanguageProfileCallback.dll
