,col0,col1,col2,col3,col4
0,647.1778,647.3445,Hand,FailOnTouchObstacleShort,LeftGate
1,647.1778,647.3445,Hand,FailOnTouchObstacleLong,LeftGate
2,647.1778,647.3445,Hand,FailOnTouchObstacleMed,RightGate
3,647.2111,647.4778,HandToWrist,FailOnTouchObstacleShort,LeftGate
4,647.2111,647.4778,HandToWrist,FailOnTouchObstacleLong,LeftGate
5,647.2111,647.4778,HandToWrist,FailOnTouchObstacleMed,RightGate
6,647.3223,649.3889,WristToElbow,FailOnTouchObstacleShort,LeftGate
7,647.3223,649.3889,WristToElbow,FailOnTouchObstacleLong,LeftGate
8,647.3223,649.3889,WristToElbow,FailOnTouchObstacleMed,RightGate
9,647.6667,647.9889,Hand,FailOnTouchObstacleLong-1,LeftGate
10,647.6667,647.9889,Hand,FailOnTouchObstacleMed-1,RightGate
11,647.7,647.9889,Hand,FailOnTouchObstacleShort-1,LeftGate
12,647.7333,648.2333,HandToWrist,FailOnTouchObstacleLong-1,LeftGate
13,647.7333,648.2333,HandToWrist,FailOnTouchObstacleMed-1,RightGate
14,647.9333,649.0,WristToElbow,FailOnTouchObstacleLong-1,LeftGate
15,647.9333,649.0,WristToElbow,FailOnTouchObstacleMed-1,RightGate
16,648.0333,649.0,WristToElbow,FailOnTouchObstacleShort-1,LeftGate
17,648.5918,,Hand,Target,PickedUp
18,648.8112,649.1334,HandToWrist,FailOnTouchObstacleLong-1,LeftGate
19,648.8112,649.1334,HandToWrist,FailOnTouchObstacleMed-1,RightGate
20,648.8223,649.0555,HandToWrist,FailOnTouchObstacleShort-1,LeftGate
21,648.9556,649.1445,Hand,FailOnTouchObstacleLong-1,LeftGate
22,648.9556,649.1445,Hand,FailOnTouchObstacleMed-1,RightGate
23,648.9556,649.1445,Hand,FailOnTouchObstacleShort-1,LeftGate
24,649.2778,649.4667,HandToWrist,FailOnTouchObstacleLong,LeftGate
25,649.2778,649.4667,HandToWrist,FailOnTouchObstacleMed,RightGate
26,649.2778,649.4667,HandToWrist,FailOnTouchObstacleShort,LeftGate
27,649.3334,649.4778,Hand,FailOnTouchObstacleLong,LeftGate
28,649.3334,649.4778,Hand,FailOnTouchObstacleMed,RightGate
29,649.3334,649.4778,Hand,FailOnTouchObstacleShort,LeftGate
