,col0,col1,col2,col3,col4,col5
0,Long Parameter List,Microsoft.AspNetCore.Cryptography,CryptoUtil,D:\research\architectureSmells\repos\aspnet_DataProtection\src\Microsoft.AspNetCore.Cryptography.Internal\CryptoUtil.cs,TimeConstantBuffersAreEqual,The method has 6 parameters. Parameters: bufA' offsetA' countA' bufB' offsetB' countB
1,Long Parameter List,Microsoft.AspNetCore.Cryptography,UnsafeNativeMethods,D:\research\architectureSmells\repos\aspnet_DataProtection\src\Microsoft.AspNetCore.Cryptography.Internal\UnsafeNativeMethods.cs,BCryptCreateHash,The method has 7 parameters. Parameters: hAlgorithm' phHash' pbHashObject' cbHashObject' pbSecret' cbSecret' dwFlags
2,Long Parameter List,Microsoft.AspNetCore.Cryptography,UnsafeNativeMethods,D:\research\architectureSmells\repos\aspnet_DataProtection\src\Microsoft.AspNetCore.Cryptography.Internal\UnsafeNativeMethods.cs,BCryptDecrypt,The method has 10 parameters. Parameters: hKey' pbInput' cbInput' pPaddingInfo' pbIV' cbIV' pbOutput' cbOutput' pcbResult' dwFlags
3,Long Parameter List,Microsoft.AspNetCore.Cryptography,UnsafeNativeMethods,D:\research\architectureSmells\repos\aspnet_DataProtection\src\Microsoft.AspNetCore.Cryptography.Internal\UnsafeNativeMethods.cs,BCryptDeriveKeyPBKDF2,The method has 9 parameters. Parameters: hPrf' pbPassword' cbPassword' pbSalt' cbSalt' cIterations' pbDerivedKey' cbDerivedKey' dwFlags
4,Long Parameter List,Microsoft.AspNetCore.Cryptography,UnsafeNativeMethods,D:\research\architectureSmells\repos\aspnet_DataProtection\src\Microsoft.AspNetCore.Cryptography.Internal\UnsafeNativeMethods.cs,BCryptDuplicateHash,The method has 5 parameters. Parameters: hHash' phNewHash' pbHashObject' cbHashObject' dwFlags
5,Long Parameter List,Microsoft.AspNetCore.Cryptography,UnsafeNativeMethods,D:\research\architectureSmells\repos\aspnet_DataProtection\src\Microsoft.AspNetCore.Cryptography.Internal\UnsafeNativeMethods.cs,BCryptEncrypt,The method has 10 parameters. Parameters: hKey' pbInput' cbInput' pPaddingInfo' pbIV' cbIV' pbOutput' cbOutput' pcbResult' dwFlags
6,Long Parameter List,Microsoft.AspNetCore.Cryptography,UnsafeNativeMethods,D:\research\architectureSmells\repos\aspnet_DataProtection\src\Microsoft.AspNetCore.Cryptography.Internal\UnsafeNativeMethods.cs,BCryptGenerateSymmetricKey,The method has 7 parameters. Parameters: hAlgorithm' phKey' pbKeyObject' cbKeyObject' pbSecret' cbSecret' dwFlags
7,Long Parameter List,Microsoft.AspNetCore.Cryptography,UnsafeNativeMethods,D:\research\architectureSmells\repos\aspnet_DataProtection\src\Microsoft.AspNetCore.Cryptography.Internal\UnsafeNativeMethods.cs,BCryptGetProperty,The method has 6 parameters. Parameters: hObject' pszProperty' pbOutput' cbOutput' pcbResult' dwFlags
8,Long Parameter List,Microsoft.AspNetCore.Cryptography,UnsafeNativeMethods,D:\research\architectureSmells\repos\aspnet_DataProtection\src\Microsoft.AspNetCore.Cryptography.Internal\UnsafeNativeMethods.cs,BCryptKeyDerivation,The method has 6 parameters. Parameters: hKey' pParameterList' pbDerivedKey' cbDerivedKey' pcbResult' dwFlags
9,Long Parameter List,Microsoft.AspNetCore.Cryptography,UnsafeNativeMethods,D:\research\architectureSmells\repos\aspnet_DataProtection\src\Microsoft.AspNetCore.Cryptography.Internal\UnsafeNativeMethods.cs,BCryptSetProperty,The method has 5 parameters. Parameters: hObject' pszProperty' pbInput' cbInput' dwFlags
10,Long Parameter List,Microsoft.AspNetCore.Cryptography,UnsafeNativeMethods,D:\research\architectureSmells\repos\aspnet_DataProtection\src\Microsoft.AspNetCore.Cryptography.Internal\UnsafeNativeMethods.cs,CryptProtectData,The method has 7 parameters. Parameters: pDataIn' szDataDescr' pOptionalEntropy' pvReserved' pPromptStruct' dwFlags' pDataOut
11,Long Parameter List,Microsoft.AspNetCore.Cryptography,UnsafeNativeMethods,D:\research\architectureSmells\repos\aspnet_DataProtection\src\Microsoft.AspNetCore.Cryptography.Internal\UnsafeNativeMethods.cs,CryptUnprotectData,The method has 7 parameters. Parameters: pDataIn' ppszDataDescr' pOptionalEntropy' pvReserved' pPromptStruct' dwFlags' pDataOut
