,col0,col1,col2,col3,col4,col5,col6
0,California,Southwestern College,CHIN 120,MANDARIN CHINESE I,LANG 1410,CHINESE I,3.0
1,Connecticut,Naugatuck Valley CC,CHI H101,ELEMENTARY CHINESE I,LANG 1410,CHINESE I,3.0
2,Connecticut,Univ of Connecticut,CHIN 1111,ELEMENTARY CHINESE I,LANG 1410,CHINESE I,4.0
3,Georgia,Morehouse College,HFLC 101,ELEMENTARY CHINESE,LANG 1410,CHINESE I,3.0
4,Indiana,Indiana Univ Bloomng,EALC-C 101,ELEMENTARY CHINESE I,LANG 1410,CHINESE I,4.0
5,Indiana,Indiana-Purdue Univ,EALC-C 117,BASIC CHINESE I,LANG 1410,CHINESE I,3.0
6,Massachusetts,Boston University,LC 111S,1ST SEM CHINESE,LANG 1410,CHINESE I,4.0
7,Massachusetts,Brandeis Univ,CHIN 10A,BEGINNING CHINESE I,LANG 1410,CHINESE I,4.0
8,Massachusetts,Simons Rock Clg Bard,CHIN 100,CHINESE LANGUAGE & CONTEXT I,LANG 1410,CHINESE I,4.0
9,New Jersey,County Coll Morris,CHI 111,ELEMENTARY CHINESE I,LANG 1410,CHINESE I,3.0
10,New York,Corning Cmty Coll,CHIN 1010,BEGINNING CHINESE I,LANG 1410,CHINESE I,4.0
11,New York,Fordham University,MAND 1001,INTRODUCTION TO MANDARIN I,LANG 1410,CHINESE I,4.0
12,New York,Nassau Cmty College,CHI 101,BEGINNING CHINESE 1,LANG 1410,CHINESE I,3.0
13,New York,New York University,CHIN-SHU 101,ELEMENTARY CHINESE I,LANG 1410,CHINESE I,4.0
14,New York,Onondaga Cmty Coll,CHI 101,ELEMENTARY CHINESE I,LANG 1410,CHINESE I,3.0
15,New York,Orange Co Cmty Coll,CHN 101,ELEMENTARY CHINESE 1,LANG 1410,CHINESE I,3.0
16,New York,SUNY Albany,EAC 101,ELEMENTARY CHINESE I,LANG 1410,CHINESE I,4.0
17,New York,Syracuse University,CHI 101,CHINESE I,LANG 1410,CHINESE I,4.0
18,North Carolina,Duke University,CHINESE 2,ELEMENTARY CHINESE,LANG 1410,CHINESE I,4.0
19,Pennsylvania,Dickinson College,CHIN 101,ELEMENTARY CHINESE,LANG 1410,CHINESE I,4.0
20,SINGAPORE,Nanyang Tech. Univ.,LC 9001,CHINESE LANGUAGE LEVEL1,LANG 1410,CHINESE I,3.0
21,Utah,University Of Utah,CHIN 1010,BEG MANDARIN CHINESE I,LANG 1410,CHINESE I,4.0
22,Virginia,Virginia Tech,CHN 1105,ELEMENTARY CHINESE,LANG 1410,CHINESE I,3.0
