,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28
0,0,21401137,1610612755,PHI,Philadelphia,203924,Jerami Grant,F,,28:36,3.0,7.0,0.429,2.0,3.0,0.667,2.0,4.0,0.5,0.0,4.0,4.0,2.0,2.0,6.0,2.0,4.0,10.0,3.0
1,1,21401137,1610612755,PHI,Philadelphia,203457,Nerlens Noel,F,,10:35,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,-4.0
2,2,21401137,1610612755,PHI,Philadelphia,203128,Furkan Aldemir,C,,29:06,2.0,4.0,0.5,0.0,0.0,0.0,4.0,6.0,0.667,2.0,4.0,6.0,2.0,0.0,2.0,0.0,4.0,8.0,-2.0
3,3,21401137,1610612755,PHI,Philadelphia,203496,Robert Covington,G,,29:57,4.0,10.0,0.4,3.0,6.0,0.5,4.0,4.0,1.0,1.0,5.0,6.0,1.0,1.0,0.0,3.0,3.0,15.0,-1.0
4,4,21401137,1610612755,PHI,Philadelphia,202397,Ish Smith,G,,33:15,6.0,20.0,0.3,1.0,5.0,0.2,2.0,4.0,0.5,2.0,7.0,9.0,5.0,0.0,1.0,3.0,2.0,15.0,-1.0
5,5,21401137,1610612755,PHI,Philadelphia,203922,Glenn Robinson III,,,19:17,3.0,7.0,0.429,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,7.0,2.0
6,6,21401137,1610612755,PHI,Philadelphia,203156,Henry Sims,,,16:33,1.0,5.0,0.2,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,4.0,7.0
7,7,21401137,1610612755,PHI,Philadelphia,201601,Luc Mbah a Moute,,,31:29,1.0,7.0,0.14300000000000002,1.0,3.0,0.33299999999999996,5.0,8.0,0.625,2.0,3.0,5.0,0.0,0.0,1.0,2.0,2.0,8.0,-3.0
8,8,21401137,1610612755,PHI,Philadelphia,203138,Hollis Thompson,,,23:50,3.0,8.0,0.375,3.0,5.0,0.6,5.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,14.0,-4.0
9,9,21401137,1610612755,PHI,Philadelphia,203960,JaKarr Sampson,,,17:22,4.0,6.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,8.0,-2.0
10,10,21401137,1610612755,PHI,Philadelphia,203477,Isaiah Canaan,,DND - Right Foot Sprain                 ,,,,,,,,,,,,,,,,,,,,
11,11,21401137,1610612755,PHI,Philadelphia,2202,Jason Richardson,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
