,col0,col1,col2,col3
0,"<b>Tags:</b> $user: Current user, $date: Today's date, $time: Current time","<b>Etiquetas:</b> $usuario: Usuario actual, $date: Fecha de hoy, $time: Hora actual",,
1,AND,Y,,
2,Action,Acción,,
3,Action builder,Constructor de acciones,,
4,Action builders,Constructores de acciones,,
5,Actions,Acciones,,
6,Activate the hand tool,Activar la herramienta manual,,
7,Aggregate,Agregado,,
8,Aggregate On,Agregado en,,
9,Aggregate On type,Tipo Aggregate On,,
10,Aggregate date type,Agregar clase de fecha,,
11,Alert,Alerta,,
12,Alert or Blocking condition,Alerta o condición de bloqueo,,
13,App builder,Constructor de aplicaciones,,
14,App builders,,,
15,App name,,,
16,Append end node,Añadir nodo final,,
17,Append intermediate node,Añadir nodo intermedio,,
18,Apply if,,,
19,Area,Área,,
20,Assign value to,Asignar valor a,,
21,BPM,BPM,,
22,Background,Antecedentes,,
23,Bar,Bar,,
24,Base model,,,
25,Blocking,Bloqueo,,
26,Boolean,booleano,,
27,Bpmn xml,Bpmn xml,,
28,Button,Botón,,
29,Button title,Título del botón,,
30,Can Collapse,,,
31,Chart builder,Constructor de gráficos,,
32,Chart builders,Constructores de cartas,,
33,Chart type,Tipo de gráfico,,
34,ChartBuilder.Group,Grupo,,
35,Choose App name,,,
36,Code,Código,,
37,Collapse if,,,
38,Colspan,Colspan,,
39,Condition,Condición,,
40,Conditions,Condiciones,,
41,Configuration,,,
42,Connect using transition,Conectar usando la transición,,
43,Context,Contexto,,
44,Create,Crear,,
45,Create end node,Crear nodo final,,
46,Create intermediate node,Crear nodo intermedio,,
47,Create start node,Crear nodo de inicio,,
48,Custom,A medida,,
49,Custom Field,Campo personalizado,,
50,Custom Model,Modelo personalizado,,
51,Custom field,Campo personalizado,,
52,Custom fields,Campos personalizados,,
53,Custom model,Modelo personalizado,,
54,Custom models,Modelos personalizados,,
55,Dashboard,Tablero de mandos,,
56,Dashboard builder,Constructor de cuadros de mando,,
57,Dashboard builders,Constructores de cuadros de mando,,
58,Dashlet builder,Constructor de dashlets,,
59,Dashlet builder list,Lista de constructores de dashlets,,
60,Dashlet builders,Constructores de dashlets,,
61,Data file,Archivo de datos,,
62,Date,Fecha,,
