,col0,col1,col2,col3,col4,col5
0,Jack Adams,adamsja01,Patrick,1965,NHL,
1,Charles Adams,adamsch01h,Patrick,1966,NHL,posthumous
2,Gordie Howe,howego01,Patrick,1966,NHL,
3,James Norris,norrija02h,Patrick,1966,NHL,posthumous
4,John Kilpatrick,kilpajo01h,Patrick,1967,NHL,posthumous
5,Thomas Lockhart,lockhth01h,Patrick,1967,NHL,
6,Walter Brown,brownwa02h,Patrick,1967,NHL,posthumous
7,Bobby Hull,hullbo01,Patrick,1968,NHL,
8,Ed Jeremiah,jeremed01,Patrick,1968,NHL,posthumous
9,Eddie Shore,shoreed01,Patrick,1969,NHL,
10,Jim Hendy,hendyji01h,Patrick,1969,NHL,posthumous
11,John B. Sollenberger,,Patrick,1970,NHL,posthumous
12,Terry Sawchuk,sawchte01,Patrick,1970,NHL,posthumous
13,William Jennings,jenniwi01h,Patrick,1970,NHL,
14,Clarence Campbell,campbcl01h,Patrick,1971,NHL,
15,Cooney Weiland,weilaco01,Patrick,1971,NHL,
16,James D. Norris,norrija03h,Patrick,1971,NHL,posthumous
17,John A. 'Snooks' Kelly,,Patrick,1971,NHL,
18,Walter Bush,bushwa01h,Patrick,1972,NHL,
19,Alex Delvecchio,delveal01,Patrick,1973,NHL,
20,Charles L. Crovat,,Patrick,1973,NHL,posthumous
21,Murray Murdoch,murdomu01,Patrick,1973,NHL,
22,Weston Adams,adamswe01h,Patrick,1973,NHL,posthumous
23,Bill Chadwick,chadwbi01h,Patrick,1974,NHL,
24,Donald Clark,,Patrick,1974,NHL,
25,Tommy Ivan,ivanto01c,Patrick,1974,NHL,
26,Bruce Norris,norribr01h,Patrick,1975,NHL,
27,George Leader,,Patrick,1975,NHL,
28,Stan Mikita,mikitst01,Patrick,1975,NHL,
29,John Bucyk,bucykjo01,Patrick,1976,NHL,
30,John Mariucci,mariujo01,Patrick,1976,NHL,
31,Murray Armstrong,armstmu01,Patrick,1976,NHL,
32,Phil Esposito,esposph01,Patrick,1977,NHL,
33,Tom Fitzgerald,,Patrick,1977,NHL,
34,William Tutt,tuttwi01h,Patrick,1977,NHL,
35,William Wirtz,wirtzwi01h,Patrick,1977,NHL,
36,Bobby Orr,orrbo01,Patrick,1978,NHL,
37,Bobby Clarke,clarkbo01,Patrick,1979,NHL,
38,Ed Snider,snideed01h,Patrick,1979,NHL,
39,Fred Shero,sherofr01,Patrick,1979,NHL,
40,Charles M. Schulz,,Patrick,1980,NHL,
41,Emile Francis,francem01,Patrick,1981,NHL,
42,Bill Torrey,torrebi01h,Patrick,1982,NHL,
43,Art Ross,rossar01,Patrick,1983,NHL,posthumous
44,John Ziegler,ziegljo01h,Patrick,1983,NHL,
