,col0,col1,col2,col3
0,09A,09A Murder and Nonnegligent Manslaughter,Homicide Offenses,Crimes against person
1,09B,09B Negligent Manslaughter,Homicide Offenses,Crimes against person
2,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person
3,11A,11A Rape (except Statutory Rape),Sex Offenses,Crimes against person
4,11B,11B Sodomy,Sex Offenses,Crimes against person
5,11C,11C Sexual Assault With An Object,Sex Offenses,Crimes against person
6,11D,11D Fondling,Sex Offenses,Crimes against person
7,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person
8,120,120 Robbery,Robbery,Crimes against property
9,12A,12A Personal Robbery,Robbery,Crimes against property
10,12B,12B Commercial Robbery,Robbery,Crimes against property
11,12U,12U Other Robbery,Robbery,Crimes against property
12,13A,13A Aggravated assault,Assault Offenses,Crimes against person
13,13B,13B Simple assault,Assault Offenses,Crimes against person
14,13C,13C Intimidation,Assault Offenses,Crimes against person
15,200,200 Arson,Arson,Crimes against property
16,210,210 Extortion/Blackmail,Extortion/Blackmail,Crimes against property
17,220,220 Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property
18,22A,22A Residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property
19,22B,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property
20,22U,22U Other Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property
21,23A,23A Pocket-picking,Larceny/Theft Offenses,Crimes against property
22,23B,23B Purse-snatching,Larceny/Theft Offenses,Crimes against property
23,23C,23C Shoplifting,Larceny/Theft Offenses,Crimes against property
24,23D,23D Theft From Building,Larceny/Theft Offenses,Crimes against property
25,23E,23E Theft From Coin-Operated Machine or Device,Larceny/Theft Offenses,Crimes against property
26,23F,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),Larceny/Theft Offenses,Crimes against property
27,23G,23G Theft of Motor Vehicle Parts or Accessories,Larceny/Theft Offenses,Crimes against property
28,23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property
29,23U,23U Other Theft,Larceny/Theft Offenses,Crimes against property
30,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property
31,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property
32,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property
33,26B,26B Credit Card/Automated Teller Machine Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property
34,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property
35,26D,26D Welfare Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property
36,26E,26E Wire Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property
37,26U,26U Other Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property
38,270,270 Embezzlement,Embezzlement,Crimes against property
39,280,280 Stolen Property Offenses,Stolen Property Offenses,Crimes against property
40,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property
41,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
42,35B,35B Drug Equipment Violations,Drug/Narcotic Offenses,Crimes against society
43,36A,36A Incest,"Sex Offenses, Nonforcible",Crimes against person
44,36B,36B Statutory Rape,"Sex Offenses, Nonforcible",Crimes against person
45,370,370 Pornography/Obscene Material,Pornography/Obscene Material,Crimes against society
46,39A,39A Betting/Wagering,Gambling Offenses,Crimes against society
47,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society
48,39C,39C Gambling Equipment Violations,Gambling Offenses,Crimes against society
49,39D,39D Sports Tampering,Gambling Offenses,Crimes against society
50,40A,40A Prostitution,Prostitution Offenses,Crimes against society
51,40B,40B Assisting or Promoting Prostitution,Prostitution Offenses,Crimes against society
52,40C,40C Purchasing Prostitution,Prostitution Offenses,Crimes against society
53,510,510 Bribery,Bribery,Crimes against property
54,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society
55,64A,"64A Human Trafficking, Commercial Sex Acts",Human Trafficking,Crimes against person
56,64B,"64B Human Trafficking, Involuntary Servitude",Human Trafficking,Crimes against person
57,90A,90A Bad Checks (except Counterfeit Checks or Forged Checks),Bad Checks (except Counterfeit Checks or Forged Checks),Crimes against property
58,90B,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society
59,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society
60,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society
61,90E,90E Drunkenness (except Driving Under the Influence),Drunkenness (except Driving Under the Influence),Crimes against society
62,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society
63,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society
64,90H,90H Peeping Tom,Peeping Tom,Crimes against society
65,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society
66,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses
67,99X,99X Non-Categorisable Offenses,Excluded cases,Excluded cases
68,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases
69,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
