,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26
0,10.0,7.0,7.0,7.0,10.0,4.0,7.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,10.0,B,B+,0.00038018158925120165,0.0038224758319947904,0.0007457851407123059,0.0006407006513227242,0.07130924908710587,0.039563275211785966,0.12968028474267007,0.14911430342640866,0.4046253480218934,0.05318328116816536,0.14693511512868976
1,10.0,10.0,10.0,10.0,-1.0,10.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A,A,1.3061544275842414e-05,3.3785455136472906e-05,5.511814955199445e-06,6.565814597909864e-06,0.0012314557023736438,0.0005389393717549102,0.00024106225981084786,0.06343857329304158,0.12305647266194035,0.10091806355673033,0.7105165085253828
2,10.0,10.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A,A-,2.5218258815138397e-05,0.0001320810554613725,8.209848844966355e-06,6.909044569934618e-05,0.01663739329448066,0.002748530924443441,0.01571961702920608,0.14160309938738322,0.1382253559445025,0.3968781879858867,0.2879532158252765
3,10.0,7.0,7.0,7.0,-1.0,7.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A-,B+,0.00029827724559979994,0.004072586535224578,6.437774551782394e-05,0.0005546216599615617,0.0521034007915932,0.03660553257726323,0.00427604760920604,0.1662492902851324,0.5126964282217098,0.10719674425555667,0.11588269307323487
4,10.0,9.0,4.0,4.0,10.0,-1.0,1.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,5.0,B+,A,0.017720358496976372,0.008763031269865263,0.007746665246519724,0.003318437279349337,0.16288195005308342,0.008264460449573293,0.15744371171861068,0.12399580980173605,0.05192493586315732,0.17731395380477155,0.28062668601635715
5,7.0,7.0,7.0,10.0,-1.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,F,B+,4.548592512276881e-05,0.0011043157638253942,2.03049035381535e-05,0.00034148117143417673,0.07067011771772104,0.12137082776254544,0.03309898501022897,0.21372191232956567,0.2668191208079489,0.11751373888136625,0.17529370972670333
6,10.0,7.0,7.0,7.0,-1.0,4.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B-,B+,0.0002727323819339926,0.003398077678272124,8.039347920446177e-05,0.0010094118863114732,0.050871100587086916,0.03482436763249025,0.16208357534575146,0.13326081460732878,0.3813805154452877,0.09098042302797277,0.1418385879283601
7,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A,A-,0.000834798563680144,0.006632361301377866,0.00034882840347524245,0.0015465699071402304,0.08248292922564325,0.2543084548754649,0.1329600267426716,0.16146374964778115,0.016984894960095538,0.25681856639341666,0.08561881997925354
8,10.0,7.0,6.0,9.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,C+,A-,0.00011315835578995073,0.007884790110762702,3.1725656813758816e-05,0.0013319862473722818,0.023470077217353075,0.1830559263753307,0.00426765115099511,0.20681619612090496,0.2045379696903012,0.2841944421649765,0.08429607690939966
9,9.0,10.0,10.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B,A,2.2239945405768765e-05,8.571911499061139e-05,1.3525565482094693e-05,6.223801026097646e-05,0.020711950568748656,0.010106303746707178,0.003843905187675157,0.1816579287263384,0.015042081693427294,0.32040405484171997,0.4480500525992439
10,7.0,10.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,C+,A,1.872425168502393e-05,0.00010115481369339904,8.094396716155209e-06,3.713473911294901e-05,0.04661168895467002,0.0095318257091664,0.01263019419405328,0.13279747045946855,0.09805904123106372,0.27226010130975425,0.42794456994061625
11,10.0,8.0,7.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B+,A-,3.2033028570825464e-05,0.0013655873799745064,1.1383145026376105e-05,0.0003465407981427841,0.012658760561379014,0.04809730075813358,0.02470108847206352,0.1799012678806398,0.21266229685664748,0.4204822366788235,0.09974150444059857
12,10.0,-1.0,7.0,10.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A-,B,9.8620542747513e-05,0.0035651932992136885,7.803042978525705e-05,0.0023318431425311463,0.0010027588180624646,0.06079587416058028,0.0007967017646576017,0.2612114653776404,0.2477745575672019,0.22249886688426188,0.199846088013318
13,-1.0,7.0,10.0,10.0,-1.0,4.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B,B,8.964856294083246e-05,0.000132398145844917,2.8192425054569145e-05,5.2460119644760634e-05,0.0675018771310281,0.04514226597362688,0.029732540812700724,0.29652819782353546,0.10498625419614717,0.16561307459176833,0.2901930902177082
14,10.0,-1.0,4.0,4.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,C,B,0.13598698677833845,0.16427574849915771,0.01017570420864488,0.11780937068392767,0.0383299168692769,0.06009165371395149,0.10146015130601654,0.179902597805278,0.02336665932964901,0.1220128611882467,0.04658834961751266
15,9.0,1.0,2.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B+,A-,0.008042864771656649,0.07602697871667086,0.00718613394503374,0.03810402025058248,0.06546890938555296,0.1713077706501704,0.13679950774579827,0.15983561013182085,0.012834492734225985,0.28288819198864035,0.04150551967984751
16,10.0,9.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A-,A-,5.8059310538374814e-05,0.0010945769048171026,1.5299933376630946e-05,0.000752309704389765,0.014718828668654812,0.007841895520044108,0.12973748149518713,0.09971406191198763,0.1988721662778903,0.33791516790637305,0.2092801523667412
17,9.0,7.0,6.0,10.0,-1.0,5.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B+,B+,0.00013687152173992763,0.003757856617711275,6.624401761376827e-05,0.000149935958049945,0.0940154300197522,0.13096204500617942,0.010292053341670809,0.18120991814179546,0.24117240218976715,0.2055910154581398,0.13264622772758022
18,-1.0,9.0,8.0,10.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A,A-,2.5030995044848275e-05,0.0004023298229868668,1.1086307329180996e-05,4.268815832375506e-05,0.032700345973768995,0.04794461980369728,0.001021124707952517,0.1140768617531561,0.21369990428490604,0.35572800528950765,0.23434800290332666
19,9.0,8.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B,A-,2.921367376405954e-05,0.0017335941821766526,1.4635225162675092e-05,0.0002284403084193755,0.07164001278822639,0.051856544453360943,0.16717089270634894,0.13523119021900534,0.015318128356352075,0.4121773442558788,0.14460000383130467
20,9.0,6.0,9.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A-,B,1.6678229241754274e-05,0.0002469108179750735,1.180181992409923e-05,9.216625104701e-05,0.005316781062665911,0.10691121493519694,0.006386484227628441,0.342543983904595,0.013877902712136951,0.2836515758900563,0.2409445001495324
21,10.0,10.0,10.0,10.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A-,A,1.7257661524342772e-05,5.286840611147592e-05,7.571564219351768e-06,4.595351044425123e-05,0.002869043337314645,0.003651078823106876,0.0005316602858613293,0.14819526369587485,0.1787793542609305,0.3069034166139408,0.3589465318406715
22,10.0,7.0,7.0,4.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B-,A-,0.00010452972253516832,0.007023279663780711,2.9187915254484496e-05,0.0014471154424420946,0.015653809883995794,0.09973264189766334,0.006510862722960096,0.29207906382425136,0.08797853970001028,0.3680946078498169,0.12134636137728975
23,10.0,7.0,9.0,7.0,-1.0,7.0,9.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A,B+,0.0006701780188199763,0.0003824621205359177,7.554087240257704e-05,7.535088686279916e-05,0.060573153948317485,0.1007841569063128,0.00488494404675367,0.21342662355293546,0.30400958690728785,0.15772853068585166,0.1573894720539199
24,8.0,6.0,3.0,7.0,-1.0,3.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,B,C,0.008115618452921688,0.0138005176816695,0.009278697469433356,0.0017062230967637613,0.4065257256285677,0.07421959231750956,0.0901420160700444,0.16706433658150224,0.09892784865329836,0.04567491367990521,0.08454451036838423
25,10.0,7.0,9.0,9.0,-1.0,10.0,5.0,8.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,A,A,0.00023478322525572972,0.00021286000171144223,2.6317996923009187e-05,0.00011282679492890161,0.0035428361235791328,0.048692999982059705,0.003480313130591407,0.2450586464867831,0.18993879954494566,0.16818988248704753,0.3405097342261745
26,10.0,9.0,7.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B+,A-,5.919274269472981e-05,0.0013169898932894708,1.5594795854529197e-05,0.0007674637993396013,0.020182836946287096,0.017170434825500815,0.09700077442700067,0.11071890068854973,0.21362035920813502,0.34692299675281824,0.19222445592053028
27,10.0,5.0,7.0,7.0,-1.0,4.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B,B+,0.0002835368287621805,0.007029853452587736,8.963818175858065e-05,0.002057278586446643,0.0457008586698358,0.029739956278835637,0.17506094693301366,0.1396691898798093,0.4151129584214022,0.07272063655656369,0.11253514621098468
28,9.0,10.0,10.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A,A-,3.1470839635106304e-05,0.00018947951181332256,1.4744753862451874e-05,6.754032200177382e-05,0.11797310341853415,0.00632132969355117,0.004507814715551606,0.1278314297160276,0.01279643081386855,0.3727814302589959,0.35748522595615834
29,10.0,8.0,4.0,7.0,-1.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B,A-,0.04609213160175787,0.008611957193595204,0.0015623348601573484,0.02045007752563981,0.07535607607794588,0.06500138843592794,0.03776195672959382,0.06935658502064931,0.2291611539337275,0.2842186761806991,0.16242766244030618
30,8.0,7.0,5.0,7.0,-1.0,4.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,C,B,0.0868653503321667,0.0037351295034075077,0.0011953372196278214,0.012290387386406207,0.14604096078511405,0.08810916940291594,0.08361441981759757,0.2617270611493949,0.11452138523889685,0.07085024694743917,0.13105055221703324
31,10.0,7.0,10.0,10.0,-1.0,5.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A,B,0.006213417345628591,0.000175571856656576,3.430410077016847e-05,0.00033907555016144444,0.0062585651101159856,0.042255744887231765,0.0014975077195900374,0.4842944453902505,0.04829926814031989,0.2936637400810935,0.11696835981818154
32,10.0,7.0,7.0,7.0,-1.0,2.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B-,B,0.040633903251045385,0.003110824785972572,0.0004957890107019488,0.0021153873985551353,0.04579025485467203,0.06511538623459502,0.06230810090640351,0.2373478574546447,0.21907176854496266,0.1847172905442845,0.1392934370141626
33,10.0,1.0,4.0,7.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B+,A-,0.0008766269535569559,0.002003172500480881,0.0005517100146047313,0.11754303230459692,0.039677182789909636,0.08073217974909869,0.024456944672715718,0.2013145936982825,0.15390811841216134,0.23305458958082784,0.1458818493237648
34,9.0,4.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,B-,B,0.0011155870456677583,0.0010149425621542557,0.0001978141225422244,0.002586590683744436,0.08907622222814005,0.25966954007505444,0.07302252200783395,0.3744967297929114,0.052738966644681584,0.10677276812665183,0.03930831671061804
35,7.0,7.0,7.0,-1.0,-1.0,5.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A-,B,0.03487785173361214,0.0005043348366742717,0.00011201453989771214,0.0013014062087726196,0.051608525221743085,0.07347133653858598,0.1870892674269507,0.42049520095200665,0.059767772671321724,0.10030410008534088,0.07046818978509442
36,10.0,7.0,9.0,10.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,C+,B+,0.0065220557994140884,0.0005601822655319966,3.1712733270849765e-05,0.00014572102658054776,0.007891509328865448,0.055558667348213,0.00263525303829466,0.21252531058601398,0.3338139787214581,0.3146232239353605,0.06569238521699683
37,10.0,5.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,A-,B,0.0012735773649060534,0.0016956614742508287,0.0003811644470746989,0.0029635439844483127,0.04151570957663248,0.09888661172407376,0.19961774307790733,0.3009466032897569,0.0640547478957119,0.2330145778594185,0.05565005930581906
