,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
0,RGUT01,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
1,RGNH02,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
2,RGNH04,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
3,RGNH07,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
4,RGNB02,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
5,RGNH03,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
6,RGNH05,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
7,RGNH06,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
8,RGNB01,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
9,RGNB03,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
10,RGNH01,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
11,BU00803702,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
12,BU03100001,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
13,BU03100002,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
14,BU03100008,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
15,BU03100009,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
16,BU03100100,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
17,BU03100200,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
18,BU03100201,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
19,BU03100209,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
20,BU03100300,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
21,BU03100309,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
22,BU03100400,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
23,BU03100401,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
24,BU03100402,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
25,BU03100500,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
26,BU03100501,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
27,BU03100600,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
28,BU03170000,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
29,BU03170001,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
30,BU03170002,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
31,BU03170003,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
32,BU03170004,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
33,BU03170005,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
34,BU03170008,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
35,BU03170009,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
36,BU03520109,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
37,BU03520209,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
38,BU03520302,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
39,BU03520309,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
40,BU03620001,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
41,BU03620002,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
42,BU03620003,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
43,BU03620004,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
44,BU03620005,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
45,BU03620006,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
46,BU03620007,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
47,BU03620008,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
48,BU03620009,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
49,BU03620010,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
50,BU03620011,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
51,BU03620012,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
52,BU03620013,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
53,BU03620014,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
54,BU03620015,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
55,BU03620016,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
56,BU03620017,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
57,BU03620018,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
58,BU03620019,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
59,BU03620020,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
60,BU03750109,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
61,BU03750909,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
62,BU04170007,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
63,BU05032701,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
64,BU05032205,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
65,BU19303501,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
66,BU19303502,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
67,BU19303503,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
68,BU06030331,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
69,BU06030332,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
70,BU06030333,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
71,BU06030334,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
72,BU06030441,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
73,BU06030442,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
74,BU06030443,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
75,BU06030551,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
76,BU06030552,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
77,BU06030553,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
78,BU06030554,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
79,BU06030661,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
80,BU06030662,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
81,BU06030663,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
82,BU06030664,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
83,BU06030881,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
84,BU06030882,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
85,BU06030883,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
86,BU06030884,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
87,BU06030991,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
88,BU06030992,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
89,BU06030993,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
90,BU06030994,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
91,BU06380009,3.2,4.6,5.8,7,10,1.7,3.5,5,6.3,8.9,0.15
