,col0,col1,col2,col3
0,Access config,Configurazione degli accessi,,
1,Access config imported successfully,Accesso alla configurazione importata con successo,,
2,Action to perform,,,
3,Anonymize,,,
4,Anonymize data,Anonimizzare i dati,,
5,App,App,,
6,Application Config,Config dell'applicazione,,
7,Apps,Applicazioni,,
8,Apps installed successfully,Le applicazioni installate con successo,,
9,Apps management,Gestione delle applicazioni,,
10,Apps refreshed successfully,Le applicazioni aggiornate con successo,,
11,Are you sure wants to anonymize data ?.,Sei sicuro di voler rendere anonimi i dati?,,
12,Are you sure wants to import demo data for '${name}'?,Sei sicuro di voler importare i dati demo per '${name}'?,,
13,Are you sure wants to install '${name}'?,Sei sicuro di voler installare '${name}'?,,
14,Are you sure wants to uninstall '${name}'?,Sei sicuro di voler disinstallare '${name}'?,,
15,Backup,Backup,,
16,Backup Created,Backup creato,,
17,Backup File,File di backup,,
18,Backup On,Backup On,,
19,Backup Restore Error,Errore di ripristino del backup,,
20,Backup Restored,Backup ripristinato,,
21,Bad header row:,Brutta fila di intestazioni:,,
22,Bad import file,File di importazione difettoso,,
23,Bulk install,Installazione all'ingrosso,,
24,CSV,CSV,,
25,CSV Backup Fetch Limit,Limite di recupero del backup CSV,,
26,Cancelled,,,
27,Code,Codice,,
28,Comment,,,
29,Condition,Condizione,,
30,ConditionParams,CondizioneParigi,,
31,Configure,Configurare,,
32,Create,Creare,,
33,Create Backup,Crea backup,,
34,Create file,Crea file,,
35,Data,Dati,,
36,Data config line,Linea di configurazione dati,,
37,Delete,Cancellare,,
38,Demo data loaded,Dati demo caricati,,
39,Demo data loaded successfully,Dati dimostrativi caricati con successo,,
40,Depends on,Dipende,,
41,Description,Descrizione,,
42,Details,Dettagli,,
43,Draft,Bozza,,
44,Error in import. Please check log.,"Errore nell'importazione. Per favore, controlla il registro.",,
45,Error in import: %s. Please check the server log,Errore nell'importazione: %s. Controllare il log del server,,
46,Error in refreshing app,Errore nell'applicazione rinfrescante,,
47,Excel,Excel,,
48,Export,Esportazione,,
49,Export file,Esporta file,,
50,Export format,Formato di esportazione,,
51,Exports,,,
52,Field,Campo,,
53,Field permission,Permesso di campo,,
54,Fields to delete,Campi da cancellare,,
55,Fields to export,,,
56,File,File,,
57,Group Menu Assistant,Assistente menu di gruppo,,
58,Groups,Gruppi,,
59,Groups not found: %s,Gruppi non trovati: %s,,
60,Hide If,Nascondi se,,
61,Image,Immagine,,
62,Import,Importazione,,
63,Import ID,Importa ID,,
64,Import access config,Importare la configurazione di accesso,,
65,Import completed successfully,Importazione completata con successo,,
66,Import date,Data d'importazione,,
67,Import demo data,Importare i dati demo,,
68,Import permissions,Autorizzazioni all'importazione,,
69,Import roles,Ruoli di importazione,,
70,Imported from,Importati da,,
71,In Progress,In corso,,
72,Init data loaded,Dati init caricati,,
73,Install,Installare,,
74,Install order,Ordine di installazione,,
75,Installed,Installato,,
76,Language,Lingua,,
77,Lines,Linee,,
78,Log,Tronco,,
79,Menu not found: %s,Menu non trovato: %s,,
80,Menus,Menu,,
81,Meta Permissions,,,
82,Model,Modello,,
83,Model select,,,
84,Modules contains in the app,I moduli contengono nell'applicazione,,
85,Name,Nome,,
86,No application language set. Please set 'application.locale' property.,Nessuna lingua di applicazione impostata. Impostare la proprietà 'application.locale'.,,
87,No configuration required,Nessuna configurazione richiesta,,
88,No header row found,Nessuna riga di intestazione trovata,,
89,No record found for: %s,Nessun record trovato: %s,,
90,None,Nessuna,,
91,Object,Oggetto,,
92,Object data anonymize,,,
93,Object data config,Configurazione dei dati dell'oggetto,,
94,Object data config export,,,
95,Object data config exports,,,
96,Object not found: %s,Oggetto non trovato: %s,,
97,Objects,Oggetti,,
98,Path,Sentiero,,
99,Path Field,,,
100,Permission Assistant,Assistente di autorizzazione,,
101,Query,Domanda,,
102,Query/path,Domanda/percorso,,
103,Read,Leggi,,
104,Readonly If,Leggero Se,,
105,Record,Registrare,,
106,Record name,,,
107,Record select,,,
108,Refresh Apps,Aggiorna le applicazioni,,
109,Relative Date,,,
110,Replace,Sostituire,,
111,Restore,Ripristinare,,
112,Restore Backup,Ripristina backup,,
113,Restored On,Ripristinato su,,
114,Return to draft status,Ritorno allo stato di bozza,,
115,Roles,Ruoli,,
116,Roles imported,Ruoli importati,,
117,Roles imported successfully,Ruoli importati con successo,,
118,Roles not found: %s,Ruoli non trovati: %s,,
119,Select all,Seleziona tutti,,
120,Sequence,Sequenza,,
121,Status,Stato,,
122,Tab name,Nome della scheda,,
123,Technical maintenance,Manutenzione tecnica,,
124,This app is used by %s. Please deactivate them before continue.,Questa applicazione è usata da %s. Disattivarli prima di continuare.,,
125,Title,Titolo,,
126,Type,Tipo,,
127,Uninstall,Disinstallare,,
128,Update Import Id,,,
129,User,Utente,,
130,User access config,Configurazione dell'accesso utente,,
131,User field,Campo utente,,
132,Validated,,,
133,Write,Scrivere,,
134,{{$fmt('name')}},{{$fmt('name')}}}},,
