,col0,col1,col2,col3,col4
0,931.0111,931.1334,Hand,FailOnTouchObstacleShort,Pushed
1,931.0222,931.4222,Hand,FailOnTouchObstacleMed,RightGate
2,931.0222,931.4222,Hand,FailOnTouchObstacleLong,RightGate
3,931.0667,931.1334,Hand,FailOnTouchObstacleShort,LeftGate
4,931.1223,932.1445,HandToWrist,FailOnTouchObstacleMed,RightGate
5,931.1223,932.1445,HandToWrist,FailOnTouchObstacleLong,RightGate
6,931.1255,931.7844,Hand,FailOnTouchObstacleShort,PickedUp
7,931.1445,931.8223,Hand,FailOnTouchObstacleShort,LeftGate
8,931.1445,931.1556,Hand,FailOnTouchObstacleShort,RightGate
9,931.1889,931.4556,Hand,FailOnTouchObstacleShort,RightGate
10,931.3334,932.0445,WristToElbow,FailOnTouchObstacleMed,RightGate
11,931.3334,932.0445,WristToElbow,FailOnTouchObstacleLong,RightGate
12,931.4889,931.5,Hand,FailOnTouchObstacleShort,RightGate
13,931.5889,931.7,FailOnTouchObstacleShort,FailOnTouchObstacleLong-1,Pushed
14,931.7444,931.8223,Hand,FailOnTouchObstacleShort,RightGate
15,931.8112,932.0111,FailOnTouchObstacleShort,FailOnTouchObstacleLong-1,Pushed
16,931.8334,931.8445,Hand,FailOnTouchObstacleShort,LeftGate
17,931.8334,931.8445,Hand,FailOnTouchObstacleShort,RightGate
18,931.9667,932.1556,Hand,FailOnTouchObstacleMed,RightGate
19,931.9667,932.1556,Hand,FailOnTouchObstacleLong,RightGate
20,932.8112,932.9778,Hand,FailOnTouchObstacleMed,Pushed
21,932.8334,933.1,Hand,FailOnTouchObstacleLong,LeftGate
22,932.8334,932.9778,Hand,FailOnTouchObstacleMed,RightGate
23,932.9687,933.6278,Hand,FailOnTouchObstacleMed,PickedUp
24,933.1334,933.2111,Hand,FailOnTouchObstacleMed,RightGate
25,933.4333,933.6889,Hand,FailOnTouchObstacleMed,RightGate
