,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28
0,0,21601044,1610612737,ATL,Atlanta,200757,Thabo Sefolosha,F,,28:09,4.0,7.0,0.5710000000000001,3.0,5.0,0.6,0.0,2.0,0.0,2.0,6.0,8.0,4.0,0.0,1.0,0.0,3.0,11.0,-7.0
1,1,21601044,1610612737,ATL,Atlanta,101141,Ersan Ilyasova,F,,27:57,5.0,11.0,0.455,3.0,9.0,0.33299999999999996,0.0,0.0,0.0,1.0,5.0,6.0,2.0,0.0,0.0,2.0,1.0,13.0,6.0
2,2,21601044,1610612737,ATL,Atlanta,2730,Dwight Howard,C,,32:31,6.0,9.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,3.0,7.0,10.0,3.0,1.0,1.0,2.0,4.0,13.0,-22.0
3,3,21601044,1610612737,ATL,Atlanta,203501,Tim Hardaway Jr.,G,,33:15,5.0,11.0,0.455,1.0,5.0,0.2,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,11.0,-11.0
4,4,21601044,1610612737,ATL,Atlanta,203471,Dennis Schroder,G,,30:34,8.0,17.0,0.47100000000000003,3.0,7.0,0.429,1.0,1.0,1.0,2.0,1.0,3.0,6.0,0.0,2.0,3.0,2.0,20.0,-12.0
5,5,21601044,1610612737,ATL,Atlanta,1627752,Taurean Prince,,,30:04,4.0,13.0,0.308,1.0,3.0,0.33299999999999996,2.0,4.0,0.5,1.0,3.0,4.0,2.0,0.0,0.0,1.0,3.0,11.0,-13.0
6,6,21601044,1610612737,ATL,Atlanta,2743,Kris Humphries,,,9:21,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
7,7,21601044,1610612737,ATL,Atlanta,203527,Ryan Kelly,,,10:40,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-17.0
8,8,21601044,1610612737,ATL,Atlanta,1627098,Malcolm Delaney,,,16:12,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,4.0,3.0,0.0,-24.0
9,9,21601044,1610612737,ATL,Atlanta,1627761,DeAndre' Bembry,,,10:03,1.0,3.0,0.33299999999999996,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,7.0
10,10,21601044,1610612737,ATL,Atlanta,101181,Jose Calderon,,,5:37,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0
11,11,21601044,1610612737,ATL,Atlanta,203488,Mike Muscala,,,5:37,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,8.0
12,12,21601044,1610612737,ATL,Atlanta,2399,Mike Dunleavy,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
13,13,21601044,1610612766,CHA,Charlotte,203077,Michael Kidd-Gilchrist,F,,21:14,4.0,8.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,9.0,-8.0
14,14,21601044,1610612766,CHA,Charlotte,101107,Marvin Williams,F,,35:31,5.0,10.0,0.5,0.0,4.0,0.0,3.0,3.0,1.0,1.0,7.0,8.0,3.0,1.0,0.0,0.0,4.0,13.0,19.0
