,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
0,0,21800041,1610612766,CHA,Charlotte,201587,Nicolas Batum,F,,9:53,96.3,100.0,135.8,135.0,-39.5,-35.0,0.0,0.0,0.0,0.067,0.2,0.1,0.0,0.5,0.5,0.12,0.121,98.74,97.18,80.99,20,0.057999999999999996
1,1,21800041,1610612766,CHA,Charlotte,101107,Marvin Williams,F,,6:06,79.3,84.6,125.0,125.0,-45.7,-40.4,0.25,0.0,50.0,0.083,0.0,0.067,0.0,0.0,0.0,0.059000000000000004,0.059000000000000004,101.91,98.44,82.03,13,0.024
2,2,21800041,1610612766,CHA,Charlotte,203087,Jeremy Lamb,G,,6:06,79.3,84.6,125.0,125.0,-45.7,-40.4,0.0,0.0,0.0,0.083,0.33299999999999996,0.133,0.0,0.0,0.129,0.235,0.237,101.91,98.44,82.03,13,-0.048
3,3,21800041,1610612766,CHA,Charlotte,202689,Kemba Walker,G,,9:23,86.0,89.5,143.0,142.1,-57.0,-52.6,0.5,1.0,11.1,0.0,0.25,0.053,11.1,0.643,0.643,0.33299999999999996,0.337,98.88,97.25,81.04,19,0.152
4,4,21800041,1610612766,CHA,Charlotte,1628370,Malik Monk,,,8:32,100.6,105.6,137.2,143.8,-36.6,-38.2,0.0,0.0,0.0,0.083,0.16699999999999998,0.111,16.7,0.3,0.3,0.273,0.287,100.3,95.68,79.73,18,0.0
5,5,21800041,1610612766,CHA,Charlotte,203077,Michael Kidd-Gilchrist,,,5:29,92.6,91.7,110.3,109.1,-17.7,-17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.21600000000000003,99.62,100.67,83.89,12,-0.242
6,6,21800041,1610612766,CHA,Charlotte,1626195,Willy Hernangomez,,,5:51,117.8,116.7,136.1,145.5,-18.2,-28.8,0.0,0.0,0.0,0.0,0.25,0.1,0.0,0.75,0.868,0.214,0.233,96.98,94.36,78.63,12,0.172
7,7,21800041,1610612766,CHA,Charlotte,2225,Tony Parker,,,2:34,133.3,160.0,82.0,80.0,51.4,80.0,0.5,0.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.16699999999999998,0.16699999999999998,101.74,93.51,77.92,5,0.28600000000000003
8,8,21800041,1610612766,CHA,Charlotte,1628970,Miles Bridges,,,5:51,117.8,116.7,136.1,145.5,-18.2,-28.8,0.25,0.0,50.0,0.0,0.25,0.1,0.0,1.0,1.0,0.071,0.078,96.98,94.36,78.63,12,0.10300000000000001
9,9,21800041,1610612761,TOR,Toronto,202695,Kawhi Leonard,F,,7:48,144.8,143.8,65.2,68.8,79.7,75.0,0.16699999999999998,0.0,20.0,0.0,0.133,0.111,0.0,1.0,1.0,0.25,0.252,100.86,98.52,82.1,16,0.35100000000000003
10,10,21800041,1610612761,TOR,Toronto,1627783,Pascal Siakam,F,,2:44,100.0,100.0,14.5,14.3,85.5,85.7,0.0,0.0,0.0,0.0,0.14300000000000002,0.111,100.0,0.0,0.0,0.16699999999999998,0.16699999999999998,113.09,114.15,95.12,6,-0.5
11,11,21800041,1610612761,TOR,Toronto,201586,Serge Ibaka,C,,6:06,125.0,125.0,79.3,84.6,45.7,40.4,0.0,0.0,0.0,0.0,0.33299999999999996,0.267,50.0,1.0,1.0,0.16699999999999998,0.16699999999999998,101.91,98.44,82.03,12,0.19
12,12,21800041,1610612761,TOR,Toronto,201980,Danny Green,G,,6:06,125.0,125.0,79.3,84.6,45.7,40.4,0.0,0.0,0.0,0.0,0.0,0.0,33.3,1.25,1.25,0.25,0.25,101.91,98.44,82.03,12,0.14300000000000002
13,13,21800041,1610612761,TOR,Toronto,200768,Kyle Lowry,G,,7:01,142.9,142.9,69.3,73.3,73.6,69.5,0.28600000000000003,0.0,40.0,0.0,0.071,0.059000000000000004,0.0,0.33299999999999996,0.33299999999999996,0.214,0.214,102.28,99.26,82.72,14,0.109
14,14,21800041,1610612761,TOR,Toronto,1628384,OG Anunoby,,,5:51,136.1,145.5,117.8,116.7,18.2,28.8,0.0,0.0,0.0,0.0,0.16699999999999998,0.1,0.0,0.0,0.0,0.0,0.0,96.98,94.36,78.63,11,0.034
15,15,21800041,1610612761,TOR,Toronto,202685,Jonas Valanciunas,,,5:51,136.1,145.5,117.8,116.7,18.2,28.8,0.25,0.0,25.0,0.0,0.33299999999999996,0.2,0.0,1.0,0.868,0.25,0.255,96.98,94.36,78.63,11,0.276
16,16,21800041,1610612761,TOR,Toronto,1626181,Norman Powell,,,4:09,101.5,100.0,157.7,175.0,-56.1,-75.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.14300000000000002,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.381,96.93,92.53,77.11,8,0.047
17,17,21800041,1610612761,TOR,Toronto,101139,CJ Miles,,,7:05,130.8,138.5,136.9,146.2,-6.1,-7.7,0.16699999999999998,0.0,33.3,0.0,0.0,0.0,0.0,1.5,1.33,0.14300000000000002,0.145,93.65,88.09,73.41,13,0.141
18,18,21800041,1610612761,TOR,Toronto,1627832,Fred VanVleet,,,7:04,130.8,138.5,127.7,135.7,3.1,2.7,0.33299999999999996,0.0,40.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.33299999999999996,0.214,0.218,97.34,91.76,76.47,13,0.028999999999999998
