,col0,col1,col2,col3,col4,col5,col6
0,31683102,96135396,1,1,,1.0,
1,31683102,96135779,1,1,1.0,1.0,
2,31683102,96139648,1,1,1.0,1.0,
3,31683102,96204497,1,1,1.0,1.0,
4,31683102,96211814,1,1,1.0,,
5,31683102,96135396,2,2,,2.0,
6,31683102,96135779,2,2,2.0,2.0,
7,31683102,96139648,2,2,2.0,2.0,
8,31683102,96204497,2,2,2.0,2.0,
9,31683102,96211814,2,2,2.0,,
10,31683102,96135396,1,3,,3.0,
11,31683102,96135779,1,3,3.0,3.0,
12,31683102,96139648,1,3,3.0,3.0,
13,31683102,96204497,1,3,3.0,3.0,
14,31683102,96211814,1,3,3.0,,
15,31683102,96135396,2,4,,4.0,
16,31683102,96135779,2,4,4.0,4.0,
17,31683102,96139648,2,4,4.0,4.0,
18,31683102,96204497,2,4,4.0,4.0,
19,31683102,96211814,2,4,4.0,,
20,31683102,96135396,1,5,,5.0,
21,31683102,96135779,1,5,5.0,5.0,
22,31683102,96139648,1,5,5.0,5.0,
23,31683102,96204497,1,5,5.0,5.0,
24,31683102,96211814,1,5,5.0,,
25,31683102,96135396,2,6,,6.0,
26,31683102,96135779,2,6,6.0,6.0,
27,31683102,96139648,2,6,6.0,6.0,
28,31683102,96204497,2,6,6.0,6.0,
29,31683102,96211814,2,6,6.0,,
30,31683102,96135396,1,7,,7.0,
31,31683102,96135779,1,7,7.0,7.0,
32,31683102,96139648,1,7,7.0,7.0,
33,31683102,96204497,1,7,7.0,7.0,
34,31683102,96211814,1,7,7.0,,
35,31683102,96135396,2,8,,8.0,
36,31683102,96135779,2,8,8.0,8.0,
37,31683102,96139648,2,8,8.0,8.0,
38,31683102,96204497,2,8,8.0,8.0,
39,31683102,96211814,2,8,8.0,,
40,31683102,96135396,1,9,,9.0,
41,31683102,96135779,1,9,9.0,9.0,
42,31683102,96139648,1,9,9.0,9.0,
43,31683102,96204497,1,9,9.0,9.0,
44,31683102,96211814,1,9,9.0,,
45,31683102,96135396,2,10,,10.0,
46,31683102,96135779,2,10,10.0,10.0,
47,31683102,96139648,2,10,10.0,10.0,
48,31683102,96204497,2,10,10.0,10.0,
49,31683102,96211814,2,10,10.0,,
50,31683102,96135396,1,11,,11.0,
51,31683102,96135779,1,11,11.0,11.0,
52,31683102,96139648,1,11,11.0,11.0,
53,31683102,96204497,1,11,11.0,11.0,
54,31683102,96211814,1,11,11.0,,
55,31683102,96135396,2,12,,12.0,
56,31683102,96135779,2,12,12.0,12.0,
57,31683102,96139648,2,12,12.0,12.0,
58,31683102,96204497,2,12,12.0,12.0,
59,31683102,96211814,2,12,12.0,,
