,col0,col1,col2,col3,col4
0,420.0889,421.4111,Hand,FailOnTouchObstacleShort,Pushed
1,420.1556,421.3667,Hand,FailOnTouchObstacleShort,RightGate
2,420.1556,420.9556,Hand,FailOnTouchObstacleLong,RightGate
3,420.1556,420.9556,Hand,FailOnTouchObstacleMed,RightGate
4,420.2097,421.2375,Hand,FailOnTouchObstacleShort,PickedUp
5,421.8778,422.0556,Hand,FailOnTouchObstacleLong,RightGate
6,421.8778,422.0556,Hand,FailOnTouchObstacleMed,RightGate
7,421.9222,422.1556,HandToWrist,FailOnTouchObstacleLong,RightGate
8,421.9222,422.1556,HandToWrist,FailOnTouchObstacleMed,RightGate
9,422.0222,426.2,WristToElbow,FailOnTouchObstacleLong,RightGate
10,422.0222,426.2,WristToElbow,FailOnTouchObstacleMed,RightGate
11,422.0334,423.3222,Hand,FailOnTouchObstacleShort,LeftGate
12,422.0889,423.7444,HandToWrist,FailOnTouchObstacleShort,LeftGate
13,422.2,426.0889,WristToElbow,FailOnTouchObstacleShort,LeftGate
14,422.8,424.2111,Hand,FailOnTouchObstacleLong-1,Pushed
15,422.8778,423.3111,Hand,FailOnTouchObstacleLong-1,LeftGate
16,422.8778,425.1778,Hand,FailOnTouchObstacleMed-1,RightGate
17,423.3038,424.4319,Hand,FailOnTouchObstacleLong-1,PickedUp
18,423.3222,423.6,Hand,FailOnTouchObstacleLong-1,LeftGate
19,423.3778,424.1556,Hand,FailOnTouchObstacleLong-1,RightGate
20,423.7444,425.3556,HandToWrist,FailOnTouchObstacleMed-1,RightGate
21,425.1222,425.1778,Hand,FailOnTouchObstacleShort-1,RightGate
22,425.1444,425.9222,WristToElbow,FailOnTouchObstacleMed-1,RightGate
23,425.2778,425.3556,HandToWrist,FailOnTouchObstacleShort-1,RightGate
24,425.3,425.9111,WristToElbow,FailOnTouchObstacleShort-1,RightGate
25,425.3889,425.6556,Hand,Target,Pushed
26,425.672,,Hand,Target,PickedUp
27,425.7778,426.0334,HandToWrist,FailOnTouchObstacleMed-1,RightGate
28,425.7778,426.0111,HandToWrist,FailOnTouchObstacleShort-1,RightGate
29,425.8889,426.0334,Hand,FailOnTouchObstacleMed-1,RightGate
30,425.8889,426.0334,Hand,FailOnTouchObstacleShort-1,RightGate
31,425.9667,426.1556,HandToWrist,FailOnTouchObstacleShort,LeftGate
32,426.0222,426.1667,Hand,FailOnTouchObstacleShort,LeftGate
33,426.1222,426.2667,HandToWrist,FailOnTouchObstacleLong,RightGate
34,426.1222,426.2667,HandToWrist,FailOnTouchObstacleMed,RightGate
35,426.1667,426.2778,Hand,FailOnTouchObstacleLong,RightGate
36,426.1667,426.2778,Hand,FailOnTouchObstacleMed,RightGate
