,col0,col1,col2,col3,col4,col5,col6,col7
0,ChIJ40YdsP1t5kcR7uLhA8TtrYk,2-18 Passage Saint-Pierre Amelot,48.8626051,2.3695987,,,route,
1,ChIJ7c-Nn_1t5kcRe2D87hXhTc8,SG2I,48.8627848,2.3692008999999996,,,point_of_interest establishment,
2,ChIJG_lTUfxt5kcRhfl5-ST6OaQ,Gailis Janis,48.8629012,2.3700946,5.0,2.0,doctor health point_of_interest establishment,
3,ChIJccAG1z5u5kcRiHI2NtPxIvo,Cercle LAB,48.862862799999995,2.3700474,4.0,5.0,point_of_interest establishment,
4,ChIJ5eQ5Cv1t5kcR9agqDivAJlI,Kuperholc Jean-Joseph,48.863290899999996,2.3693142000000003,,,point_of_interest establishment,
5,ChIJU-saBv1t5kcR071St2q8vSo,Francois Thierry,48.8633203,2.3698,,,point_of_interest establishment,
6,ChIJrY6rp_1t5kcR0NuM0iGyATU,La Casita,48.863290899999996,2.3693142000000003,4.0,1.0,restaurant food point_of_interest establishment,
7,ChIJxyY7Cv1t5kcRF589ckz6K6c,DH Informatique (D.h.i),48.86331920000001,2.3693844,,,point_of_interest establishment,
8,ChIJVVWZB_1t5kcRaK6zVmkNIug,Solange Lhermitte,48.8633203,2.3698,,,point_of_interest establishment,
9,ChIJVVWZB_1t5kcRHY-5NhE2twg,Aliénor Girbes,48.8633203,2.3698,,,point_of_interest establishment,
10,ChIJtUr5s_1t5kcR6eDdMo11pDI,Student Residence Paris Voltaire,48.8625054,2.3697839,3.0,2.0,point_of_interest establishment,
11,ChIJ97j7Cf1t5kcRf6Z9TBbzuxU,Média.T - Online,48.863297499999994,2.3693207000000003,,,point_of_interest establishment,
12,ChIJb7lUrP1t5kcRS_xGaG-qO4g,Bijoux Hohl,48.862869399999994,2.3700539000000003,5.0,2.0,jewelry_store point_of_interest store establishment,
13,ChIJCZOWCP1t5kcRm0WgSYtso2E,Envisa,48.863371,2.3696045,,,point_of_interest establishment,
14,ChIJcWkAr_1t5kcR7SlxSA4ucbg,Espace Ness,48.8627612,2.3699225,5.0,4.0,point_of_interest establishment,
15,ChIJR5oWrP1t5kcRkybhyW53uP4,Delouis Bertrand,48.8628765,2.3700243,,,point_of_interest establishment,
16,ChIJ5y9RnP1t5kcRP6j4LASfogA,Zinger Cecilia,48.8627848,2.3692008999999996,,,point_of_interest establishment,
17,ChIJWaMUdmZt5kcR9XDcdWK9WjM,Le Onze,48.862862799999995,2.3700474,,,point_of_interest establishment,
18,ChIJJ1-2rf1t5kcRCBvnkkhIVMs,Haddouche Cyrille,48.862862799999995,2.3700474,,,point_of_interest establishment,
19,ChIJD7fiBh9u5kcRYJSMaMOCCwQ,Paris,48.856614,2.3522218999999995,,,locality political,
20,ChIJq6qqqptx5kcRWOZTWGHzEuE,Seroni Interactive,48.8628281,2.3700671000000004,,,point_of_interest establishment,
21,ChIJob37B_1t5kcRIKkAF-OYkKE,Forma',48.863290299999996,2.3696716,,,point_of_interest establishment,
22,ChIJP_0bCf1t5kcRoxHAMGV7HSs,Fédération Sportive Et Culturelle De France F.S.C.F,48.863290299999996,2.3696716,4.8,17.0,point_of_interest establishment,
23,ChIJff2prf1t5kcR0LLqgM92_H4,Rayebois Magalie,48.862771,2.370124,,,point_of_interest establishment,
24,ChIJU-saBv1t5kcRe2TGPdSLrGA,Urbanflore,48.8633203,2.3698,5.0,1.0,park general_contractor point_of_interest establishment,
25,ChIJNeU5Cv1t5kcRJA6LlEmNokA,JJK And Co,48.863290899999996,2.3693142000000003,,,point_of_interest establishment,
26,ChIJH-EKhQlt5kcRBzfYcMGeVnQ,Driving School Paris 11,48.863290899999996,2.3693142000000003,3.3,48.0,point_of_interest establishment,
27,ChIJ73k6Cv1t5kcRCKvf_8Asm0w,Les Petits Papiers,48.8633333,2.3694444,4.5,141.0,restaurant food point_of_interest establishment,2.0
28,ChIJ-bj7Cf1t5kcRh9AnJ3pJthQ,Perspectives-Lab,48.863297499999994,2.3693207999999997,,,point_of_interest establishment,
29,ChIJ97j7Cf1t5kcRHes7OTgEh60,As Formation Oberkampf,48.863297499999994,2.3693207000000003,,,point_of_interest establishment,
30,ChIJU-saBv1t5kcRhuLrHGHeNXs,Nam Minh Nguyen,48.863338,2.3698513,5.0,1.0,doctor health point_of_interest establishment,
31,ChIJZ2EqCv1t5kcRMFz0ZwlNN1Q,Quartier d'Oberkampf,48.863353000000004,2.3693313999999996,,,tourist_attraction point_of_interest establishment,
32,ChIJU95Od_5t5kcRwESJ-OXqL7I,Le 18,48.8633857,2.3694484,5.0,2.0,bar food point_of_interest establishment,
