,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
0,C-0001,CP-024,B-001,17.3,1.062,12,No,No,No,0.013000000000000001
1,C-0002,CP-024,B-001,11.2,0.5,20,No,No,No,0.005
2,C-0003,CP-024,B-001,19.3,1.187,12,No,No,No,0.013999999999999999
3,C-0048,CP-024,B-002,9.5,0.562,18,No,No,No,0.006
4,C-0049,CP-024,B-002,9.5,0.812,16,No,No,No,0.012
5,C-0050,CP-024,B-002,10.5,1.0,14,No,No,No,0.015
6,C-0051,CP-024,B-002,14.0,1.187,12,No,No,No,0.033
7,C-0052,CP-024,B-002,15.5,1.4369999999999998,12,No,No,No,0.040999999999999995
8,C-0053,CP-024,B-002,15.5,2.0,12,No,No,No,0.079
9,C-0058,CP-024,B-002,8.6,0.687,16,No,No,No,0.006
10,C-0059,CP-024,B-002,10.5,1.0,14,No,No,No,0.015
11,C-0060,CP-024,B-002,12.5,2.0,12,No,No,No,0.042
12,C-0096,CP-024,B-002,8.5,0.687,16,No,Yes,No,0.006
13,C-0101,CP-024,B-002,10.5,0.812,16,No,Yes,No,0.01
14,C-0186,CP-024,B-002,15.5,1.4369999999999998,12,No,No,No,0.024
15,C-0226,CP-024,B-001,12.7,0.562,18,No,No,No,0.06
16,C-0228,CP-024,B-001,16.8,0.875,14,No,No,No,0.06
17,C-0309,CP-024,B-001,16.8,0.875,14,No,No,No,0.001
18,C-0391,CP-024,B-002,10.5,0.812,16,No,No,No,0.009000000000000001
19,C-0445,CP-024,B-001,19.8,1.3119999999999998,12,No,No,No,0.02
20,C-0449,CP-024,B-001,14.2,0.75,16,No,No,No,0.006
21,C-0830,CP-024,B-001,23.1,1.625,12,No,No,No,0.027000000000000003
22,C-1035,CP-024,B-002,12.0,0.812,16,Yes,No,No,0.017
23,C-1074,CP-024,B-001,13.08,0.5,20,No,No,No,0.006
24,C-1244,CP-024,B-001,12.7,0.562,18,No,No,No,0.005
25,C-1332,CP-024,B-002,16.5,0.687,16,Yes,No,No,0.012
26,C-1420,CP-024,B-001,16.8,0.875,14,No,No,No,0.009000000000000001
27,C-1443,CP-024,B-001,28.4,1.875,12,No,No,No,0.09
28,C-1627,CP-024,B-002,9999.0,0.562,18,Yes,No,No,0.005
29,C-1628,CP-024,B-002,9999.0,0.687,16,Yes,No,No,0.006
30,C-1629,CP-024,B-002,9999.0,0.812,16,Yes,No,No,0.012
31,C-1630,CP-024,B-002,9999.0,1.0,14,Yes,No,No,0.018000000000000002
32,C-1631,CP-024,B-002,9999.0,1.187,12,Yes,No,No,0.026000000000000002
33,C-1632,CP-024,B-002,9999.0,1.4369999999999998,12,Yes,No,No,0.033
34,C-1633,CP-024,B-002,9999.0,1.6869999999999998,12,Yes,No,No,0.04
35,C-1635,CP-024,B-002,17.0,1.4369999999999998,12,Yes,No,No,0.025
36,C-1652,CP-024,B-002,17.0,1.4369999999999998,12,Yes,No,No,0.045
37,C-1653,CP-024,B-002,15.5,1.4369999999999998,12,Yes,No,No,0.03
38,C-1654,CP-024,B-002,14.5,1.187,12,Yes,No,No,0.028999999999999998
39,C-1655,CP-024,B-002,14.5,1.187,12,Yes,No,No,0.025
40,C-1656,CP-024,B-002,14.5,1.187,12,Yes,No,No,0.023
41,C-1657,CP-024,B-002,14.5,1.187,12,Yes,No,No,0.02
42,C-1658,CP-024,B-002,13.5,1.0,14,Yes,No,No,0.021
43,C-1659,CP-024,B-002,13.5,1.0,14,Yes,No,No,0.019
44,C-1660,CP-024,B-002,12.0,0.812,16,Yes,No,No,0.012
45,C-1661,CP-024,B-002,10.5,0.687,16,Yes,No,No,0.005
46,C-1703,CP-024,B-002,20.0,1.4369999999999998,12,No,No,No,0.059000000000000004
47,C-1846,CP-024,B-001,10.4,0.43700000000000006,20,No,No,No,0.002
48,C-1866,CP-024,B-002,9999.0,2.0,12,Yes,No,No,0.035
49,C-2035,CP-024,B-002,9.5,0.562,18,Yes,No,No,0.001
