,col0,col1,col2,col3,col4
0,Sexism,0,Feminism,1,1.0
1,Ambivalent sexism,2,Discrimination,3,
2,Antifeminism,1,Feminism,1,
3,Face-ism,2,Politics,0,
4,Femicide,1,Discrimination,3,
5,Gender apartheid,1,Women's History,4,
6,Gender bias on Wikipedia,2,Discrimination,3,
7,Gender-blind,2,Discrimination,3,
8,Feminism,1,Discrimination,3,
9,Gender discrimination in Pakistan,2,Women's History,4,
10,Gender egalitarianism,2,Gender Studies,2,
11,Gender neutrality,1,Discrimination,3,
12,Glass cliff,2,Discrimination,3,
13,Gender inequality,1,Feminism,1,
14,Gender polarization,2,Gender Studies,2,
15,Hegemonic masculinity,1,Feminism,1,
16,Hypermasculinity,1,Gender Studies,2,
17,Intersectionality,2,Discrimination,3,
18,LGBT stereotypes,2,LGBT Studies,5,
19,Male privilege,1,Feminism,1,
20,Masculism,1,Gender Studies,2,
21,Men and feminism,2,Feminism,1,
22,Men's rights movement,1,Discrimination,3,
23,Matriarchy,2,Feminism,1,
24,Misandry,1,Discrimination,3,
25,Misogyny,1,Discrimination,3,
26,National Organization for Men Against Sexism,2,Feminism,1,
27,National Organization for Women,2,Feminism,1,
28,Occupational segregation,1,Discrimination,3,
29,Occupational sexism,1,Discrimination,3,
30,Pink-collar worker,2,Feminism,1,
31,Sex differences in humans,2,Feminism,1,
32,Sex segregation,1,Feminism,1,
33,Sexism in the technology industry,1,Discrimination,3,
34,Sexism in India,2,Discrimination,3,
35,Sexual division of labour,2,Gender Studies,2,
36,Transphobia,2,Discrimination,3,
37,Wife selling,2,Feminism,1,
38,Women's rights,1,Feminism,1,
39,Women in firefighting,2,Women's History,4,
40,Women in law enforcement,2,Feminism,1,
41,Women in the workforce,1,Feminism,1,
42,Feminisation of the workplace,1,Gender Studies,2,
43,Rosie the Riveter,1,Feminism,1,
44,Women's history,3,Gender Studies,2,
45,Women's empowerment,3,Feminism,1,
46,Women's studies,3,Feminism,1,
47,Gender studies,1,Gender Studies,2,
48,Workplace discrimination,3,Discrimination,3,
49,Glass ceiling,1,Discrimination,3,
50,Labor history (discipline),3,Sociology,0,
51,Educational Inequality,3,Discrimination,3,
52,Timeline of women's rights (other than voting),3,Gender Studies,2,
53,Motherhood penalty,1,Discrimination,3,
54,Supervising Women Workers,3,Others,0,
55,Western dress codes,3,Sociology,0,
56,Women in science,1,Women's History,4,
57,Women in computing,1,Feminism,1,
58,Women in the Information Age,3,Women's History,4,
59,Women in engineering,1,Women's History,4,
60,Women in geology,1,Women's History,4,
61,Women in medicine,3,Gender Studies,2,
62,Women in the United States judiciary,1,Women's History,4,
63,Women artists,1,Women's History,4,
64,Women Surrealists,3,Women's History,4,
65,Vulcana Women's Circus,3,Others,0,
66,Women's writing in English,3,Gender Studies,2,
67,Women in journalism and media professions,3,Women's History,4,
68,Women's cinema,3,Women's History,4,
69,Female composers in the United States during the 20th century,3,Women's History,4,
70,Women composers of Catholic music,3,Women's History,4,
71,Women's professional sports,3,Feminism,1,
72,Women's sports,3,Feminism,1,
73,Women in philosophy,3,Philosophy,0,
74,Women in piracy,3,Women's History,4,
75,Women in politics,3,Feminism,1,
