,col0,col1,col2,col3,col4,col5,col6,col7,col8
0,ACCOUNT_ID,アカウントID,Account ID,accountID,STRING,False,,Attribute,
1,ACCOUNT_NAME,アカウント名,Account Name,accountName,STRING,False,,Attribute,
2,CAMPAIGN_ID,キャンペーンID,CampaignID,campaignID,LONG,False,,Segment,
3,ADGROUP_ID,広告グループID,Ad Group ID,adgroupID,LONG,False,,Segment,
4,CAMPAIGN_NAME,キャンペーン名,Campaign Name,campaignName,STRING,False,,Segment,
5,ADGROUP_NAME,広告グループ名,Ad Group Name,adgroupName,STRING,False,,Segment,
6,SEARCH_QUERY,検索クエリー,Search Query,searchQuery,STRING,False,,Attribute,
7,COST,コスト,Cost,cost,LONG,False,"[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]",Metric,
8,IMPS,インプレッション数,Impressions,impressions,LONG,False,"[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]",Metric,
9,CLICKS,クリック数,Clicks,clicks,LONG,False,"[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]",Metric,
10,CLICK_RATE,クリック率,CTR,ctr,DOUBLE,False,"[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]",Metric,
11,AVG_CPC,平均CPC,Avg. CPC,averageCpc,DOUBLE,False,"[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]",Metric,
12,CONVERSIONS,コンバージョン数,Conversions,conversions,DOUBLE,False,"[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]",Metric,
13,CONV_RATE,コンバージョン率,Conv. Rate,convRate,DOUBLE,False,"[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]",Metric,
14,CONV_VALUE,コンバージョンの価値,Conv. Value,convValue,DOUBLE,False,,Metric,
15,COST_PER_CONV,コスト/コンバージョン数,Cost Per Conv.,costPerConv,DOUBLE,False,"[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]",Metric,
16,VALUE_PER_CONV,価値/コンバージョン数,Value Per Conv.,valuePerConv,DOUBLE,False,"[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]",Metric,
17,ALL_CONV,すべてのコンバージョン数,All Conv.,allConv,DOUBLE,False,,Metric,
18,ALL_CONV_RATE,すべてのコンバージョン率,All Conv. Rate,allConvRate,DOUBLE,False,,Metric,
19,ALL_CONV_VALUE,すべてのコンバージョンの価値,All Conv. Value,allConvValue,DOUBLE,False,,Metric,
20,COST_PER_ALL_CONV,コスト/すべてのコンバージョン数,Cost Per All Conv.,costPerAllConv,DOUBLE,False,,Metric,
21,VALUE_PER_ALL_CONV,価値/すべてのコンバージョン数,Value Per All Conv.,valuePerAllConv,DOUBLE,False,,Metric,
22,CROSS_DEVICE_CONVERSIONS,デバイスをまたいだコンバージョン数,Conversions across devices,crossDeviceConversions,DOUBLE,False,,Metric,データ取得出来ない場合、値に[--]が設定されます
23,CAMPAIGN_TRACKING_ID,キャンペーントラッキングID,Campaign Tracking ID,campaignTrackingID,LONG,False,,Segment,
24,ADGROUP_TRACKING_ID,広告グループトラッキングID,Ad Group Tracking ID,adgroupTrackingID,LONG,False,,Segment,
25,GENERATED_TITLE,自動的に作成されたタイトル,Title auto created,generatedTitle,STRING,False,,Segment,
26,DOMAIN,ドメイン,Domain,domain,STRING,False,,Segment,
27,URL,URL,URL,url,STRING,False,,Segment,
28,DAY,日,Day,day,STRING,False,,Segment,
29,DAY_OF_WEEK,曜日,Day of week,dayOfWeek,ENUM,False,,Segment,
30,QUARTER,四半期,Quarter,quarter,STRING,False,,Segment,
31,YEAR,年間,Year,year,STRING,False,,Segment,
32,MONTH,毎月,Month,month,STRING,False,,Segment,
33,MONTH_OF_YEAR,月,Month of Year,monthofYear,ENUM,False,,Segment,
34,WEEK,毎週,Week,week,STRING,False,,Segment,
35,OBJECT_OF_CONVERSION_TRACKING,コンバージョン測定の目的,Objective of Conversion Tracking,objectiveOfConversionTracking,ENUM,False,"[ALL_CONV_VALUE_PER_COST, AVG_CPC, CLICKS, CLICK_RATE, CONVERSIONS, CONV_RATE, CONV_VALUE_PER_COST, COST, COST_PER_CONV, IMPS, VALUE_PER_CONV]",Segment,
36,CONVERSION_NAME,コンバージョン名,Conversion Name,conversionName,STRING,False,"[ALL_CONV_VALUE_PER_COST, AVG_CPC, CLICKS, CLICK_RATE, CONVERSIONS, CONV_RATE, CONV_VALUE_PER_COST, COST, COST_PER_CONV, IMPS, VALUE_PER_CONV]",Segment,
37,CONV_VALUE_PER_COST,コンバージョンの価値/コスト,Conv. Value Per Cost,convValuePerCost,DOUBLE,False,"[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]",Metrics,
38,ALL_CONV_VALUE_PER_COST,すべてのコンバージョンの価値/コスト,All Conv. Value Per Cost,allConvValuePerCost,DOUBLE,False,"[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]",Metrics,
39,QUERY_TARGETING_STATUS,対象外キーワード登録状況,Negative Keyword,queryTargetingStatus,ENUM,False,,Attribute,
