,col0,col1,col2
0,YEAR,Year,
1,QUARTER,Quarter,
2,MONTH,Month,
3,ORIGIN_AIRPORT_ID,"Origin Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
4,ORIGIN_AIRPORT_SEQ_ID,"Origin Airport, Airport Sequence ID. An identification number assigned by US DOT to identify a unique airport at a given point of time.  Airport attributes, such as airport name or coordinates, may change over time.",
5,ORIGIN_CITY_MARKET_ID,"Origin Airport, City Market ID. City Market ID is an identification number assigned by US DOT to identify a city market.  Use this field to consolidate airports serving the same city market.",
6,ORIGIN,Origin Airport,
7,ORIGIN_CITY_NAME,Origin City,
8,ORIGIN_STATE_ABR,Origin State Code,
9,ORIGIN_STATE_FIPS,Origin State FIPS (U.S. Federal Information Processing Standard Codes),
10,ORIGIN_STATE_NM,"Origin Airport, State Name",
11,ORIGIN_WAC,"Origin Airport, World Area Code",
12,DEST_AIRPORT_ID,"Destination Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
13,DEST_AIRPORT_SEQ_ID,"Destination Airport, Airport Sequence ID. An identification number assigned by US DOT to identify a unique airport at a given point of time.  Airport attributes, such as airport name or coordinates, may change over time.",
14,DEST_CITY_MARKET_ID,"Destination Airport, City Market ID. City Market ID is an identification number assigned by US DOT to identify a city market.  Use this field to consolidate airports serving the same city market.",
15,DEST,Destination Airport,
16,DEST_CITY_NAME,Destination City,
17,DEST_STATE_ABR,Destination State Code,
18,DEST_STATE_FIPS,Destination State FIPS (U.S. Federal Information Processing Standard Codes),
19,DEST_STATE_NM,"Destination Airport, State Name",
20,DEST_WAC,"Destination Airport, World Area Code",
21,UNIQUE_CARRIER,"Unique Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years.",
22,AIRLINE_ID,"An identification number assigned by US DOT to identify a unique airline (carrier). A unique airline (carrier) is defined as one holding and reporting under the same DOT certificate regardless of its Code, Name, or holding company/corporation.",
23,UNIQUE_CARRIER_NAME,"Unique Carrier Name. When the same name has been used by multiple carriers, a numeric suffix is used for earlier users, for example, Air Caribbean, Air Caribbean (1).",
24,UNIQUE_CARRIER_ENTITY,Unique Entity for a Carrier's Operation Region.,
25,REGION,Carrier's Operation Region. Carriers Report Data by Operation Region,
26,CARRIER,"Code assigned by IATA and commonly used to identify a carrier. As the same code may have been assigned to different carriers over time, the code is not always unique. For analysis, use the Unique Carrier Code.",
27,CARRIER_NAME,Carrier Name,
28,CARRIER_GROUP,Carrier Group Code.  Used in Legacy Analysis,
29,CARRIER_GROUP_NEW,Carrier Group New,
30,DISTANCE_GROUP,"Distance Intervals, every 500 Miles, for Flight Segment",
31,CLASS,Service Class,
32,AIRCRAFT_GROUP,Aircraft Group,
33,AIRCRAFT_TYPE,Aircraft Type,
34,AIRCRAFT_CONFIG,Aircraft Configuration,
35,DEPARTURES_SCHEDULED,Departures Scheduled,
36,DEPARTURES_PERFORMED,Departures Performed,
37,PAYLOAD,Available Payload (pounds),
38,SEATS,Available Seats,
39,PASSENGERS,Non-Stop Segment Passengers Transported,
40,FREIGHT,Non-Stop Segment Freight Transported (pounds),
41,MAIL,Non-Stop Segment Mail Transported (pounds),
42,DISTANCE,Distance between airports (miles),
43,RAMP_TO_RAMP,Ramp to Ramp Time (minutes),
44,AIR_TIME,Airborne Time (minutes),
