,col0,col1,col2,col3,col4,col5,col6,col7
0,0,DEM,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
1,1,PCdoB,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
2,2,PDT,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
3,3,PEN,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
4,4,PHS,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
5,5,PMDB,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
6,6,PODE,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
7,7,PP,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
8,8,PPS,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
9,9,PR,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
10,10,PRB,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
11,11,PROS,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
12,12,PRP,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
13,13,PSB,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
14,14,PSC,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
15,15,PSD,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
16,16,PSDB,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
17,17,PSL,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
18,18,PSOL,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
19,19,PT,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
20,20,PTB,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
21,21,PTdoB,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
22,22,PV,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
23,23,REDE,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
24,24,Solidaried,7728,117975,2017-08-23 15:12:08.0,2017-08-23 20:38:50.0,,
